Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,44.820000,44.849998,44.360001,44.450001,42.419567,278400
2016-01-04,43.900002,43.950001,43.480000,43.939999,41.932854,776500
2016-01-05,44.000000,44.180000,43.820000,44.119999,42.104633,409700
2016-01-06,43.669998,44.070000,43.660000,43.869999,41.866055,210400
2016-01-07,43.349998,43.750000,43.169998,43.330002,41.350723,428200
2016-01-08,43.580002,43.669998,43.119999,43.200001,41.226662,383200
2016-01-11,43.369999,43.549999,42.980000,43.410000,41.427067,465700
2016-01-12,43.709999,43.840000,43.369999,43.779999,41.780163,238400
2016-01-13,43.849998,43.849998,42.860001,42.919998,40.959450,359300
2016-01-14,43.020000,43.200001,42.570000,42.900002,40.940361,584300
2016-01-15,42.130001,42.500000,41.520000,42.029999,40.110104,853200
2016-01-19,42.360001,42.480000,41.689999,41.980000,40.062393,1994100
2016-01-20,41.500000,41.849998,40.619999,41.570000,39.671112,1395100
2016-01-21,41.669998,41.759998,41.259998,41.480000,39.585232,439000
2016-01-22,41.980000,42.349998,41.830002,42.270000,40.339142,322200
2016-01-25,42.110001,42.180000,41.720001,41.759998,39.852436,638800
2016-01-26,41.910000,42.369999,41.889999,42.180000,40.253250,131900
2016-01-27,42.150002,42.509998,41.770000,42.009998,40.091019,283000
2016-01-28,42.279999,42.730000,42.119999,42.580002,40.634987,200500
2016-01-29,42.750000,43.470001,42.750000,43.450001,41.465240,473000
2016-02-01,43.250000,44.189999,43.250000,44.070000,42.056919,541300
2016-02-02,43.750000,43.750000,43.360001,43.430000,41.446152,809900
2016-02-03,43.520000,43.610001,42.799999,43.209999,41.236202,1072400
2016-02-04,43.090000,43.189999,42.639999,42.820000,40.864021,653000
2016-02-05,42.959999,43.220001,42.520000,42.630001,40.682693,1627200
2016-02-08,42.430000,42.650002,42.029999,42.549999,40.606350,638300
2016-02-09,42.259998,42.959999,42.250000,42.730000,40.778130,2059400
2016-02-10,42.910000,43.310001,42.740002,42.820000,40.864021,657700
2016-02-11,42.080002,42.330002,41.790001,42.119999,40.195995,1225100
2016-02-12,42.220001,42.759998,42.040001,42.759998,40.806751,1844500
2016-02-16,43.180000,43.509998,43.040001,43.430000,41.446152,347800
2016-02-17,43.599998,43.950001,43.529999,43.849998,41.846966,390200
2016-02-18,43.810001,43.810001,43.439999,43.650002,41.656105,743100
2016-02-19,43.490002,43.740002,43.299999,43.650002,41.656105,957200
2016-02-22,43.849998,43.939999,43.709999,43.869999,41.866055,508100
2016-02-23,43.700001,44.090000,43.700001,43.990002,41.980576,330100
2016-02-24,43.740002,44.290001,43.630001,44.220001,42.200066,335500
2016-02-25,44.340000,44.900002,44.299999,44.889999,42.839462,296900
2016-02-26,44.950001,45.049999,44.470001,44.560001,42.524544,506000
2016-02-29,44.520000,44.939999,44.470001,44.470001,42.438648,377800
2016-03-01,44.779999,45.020000,44.660000,44.919998,42.868088,495700
2016-03-02,44.860001,45.070000,44.580002,45.070000,43.011242,1831500
2016-03-03,44.820000,45.290001,44.650002,45.279999,43.211643,673600
2016-03-04,45.189999,45.509998,45.080002,45.330002,43.259365,284800
2016-03-07,45.119999,45.459999,45.090000,45.150002,43.087585,640300
2016-03-08,45.070000,45.400002,44.970001,45.130001,43.068497,306200
2016-03-09,45.279999,45.500000,45.230000,45.419998,43.345253,201400
2016-03-10,45.490002,45.639999,45.020000,45.340000,43.268909,294600
2016-03-11,45.610001,45.830002,45.480000,45.779999,43.688808,262900
2016-03-14,45.689999,45.830002,45.630001,45.740002,43.650642,238300
2016-03-15,45.520000,45.810001,45.500000,45.709999,43.622005,119000
2016-03-16,45.660000,46.040001,45.540001,45.980000,43.879673,444500
2016-03-17,45.939999,46.369999,45.919998,46.279999,44.165966,329800
2016-03-18,46.360001,46.450001,46.230000,46.270000,44.156425,386800
2016-03-21,46.139999,46.310001,46.060001,46.169998,44.060993,347700
2016-03-22,46.049999,46.119999,45.860001,45.900002,43.803326,288200
2016-03-23,45.660000,45.849998,45.580002,45.650002,43.707684,358000
2016-03-24,45.500000,45.520000,45.340000,45.500000,43.564060,251700
2016-03-28,45.570000,45.900002,45.570000,45.830002,43.880020,608800
2016-03-29,45.820000,46.209999,45.790001,46.209999,44.243851,817200
2016-03-30,46.310001,46.450001,46.150002,46.330002,44.358749,2520600
2016-03-31,46.270000,46.369999,46.070000,46.119999,44.157677,258400
2016-04-01,45.930000,46.700001,45.930000,46.700001,44.713001,731000
2016-04-04,46.660000,46.689999,46.279999,46.410000,44.435333,523300
2016-04-05,46.220001,46.220001,46.029999,46.090000,44.128956,331300
2016-04-06,46.150002,46.570000,46.150002,46.570000,44.588531,258000
2016-04-07,46.369999,46.560001,46.180000,46.369999,44.397041,492200
2016-04-08,46.560001,46.639999,46.410000,46.540001,44.559807,344500
2016-04-11,46.650002,46.779999,46.180000,46.180000,44.215130,314500
2016-04-12,46.230000,46.560001,46.139999,46.520000,44.540665,321900
