Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,57.230000,57.240002,56.750000,56.790001,55.047112,118700
2016-01-04,55.990002,55.990002,55.349998,55.590000,53.883942,49800
2016-01-05,55.799999,56.200001,55.799999,56.169998,54.446136,83700
2016-01-06,55.540001,56.189999,55.540001,55.980000,54.261967,47900
2016-01-07,55.310001,55.740002,54.930000,55.040001,53.350819,51900
2016-01-08,55.340000,55.340000,54.660000,54.750000,53.069721,71200
2016-01-11,54.970001,55.279999,54.590000,55.220001,53.525291,76200
2016-01-12,55.580002,55.790001,55.119999,55.720001,54.009949,49000
2016-01-13,55.860001,55.860001,53.880001,53.950001,52.294273,73700
2016-01-14,54.060001,54.590000,53.650002,54.259998,52.594753,230800
2016-01-15,53.220001,53.610001,52.680000,53.360001,51.722378,43400
2016-01-19,53.869999,53.869999,53.000000,53.450001,51.809616,131500
2016-01-20,52.730000,53.290001,51.570000,52.869999,51.247414,101100
2016-01-21,53.060001,53.160000,52.560001,52.869999,51.247414,63500
2016-01-22,53.439999,54.020000,53.250000,53.980000,52.323349,25500
2016-01-25,53.869999,53.950001,53.439999,53.450001,51.809616,21500
2016-01-26,53.610001,54.330002,53.610001,54.090000,52.429974,16500
2016-01-27,54.029999,54.470001,53.500000,53.779999,52.129490,20900
2016-01-28,54.090000,54.310001,53.830002,54.209999,52.546284,42600
2016-01-29,54.389999,55.639999,54.389999,55.639999,53.932404,44000
2016-02-01,55.450001,56.160000,55.419998,55.930000,54.213497,88900
2016-02-02,55.570000,55.580002,55.139999,55.299999,53.602840,72900
2016-02-03,55.480000,55.509998,54.200001,54.770000,53.089108,90400
2016-02-04,54.500000,54.529999,53.820000,54.040001,52.381508,29100
2016-02-05,54.070000,54.250000,53.130001,53.209999,51.576981,50200
2016-02-08,52.790001,52.790001,51.990002,52.520000,50.908154,205400
2016-02-09,52.139999,53.220001,52.139999,52.869999,51.247414,51100
2016-02-10,53.139999,53.730000,53.020000,53.070000,51.441273,40100
2016-02-11,52.439999,52.869999,52.110001,52.650002,51.034164,76500
2016-02-12,53.049999,53.360001,52.910000,53.349998,51.712677,141200
2016-02-16,53.930000,54.500000,53.770000,54.430000,52.759537,40900
2016-02-17,54.619999,54.959999,54.570000,54.830002,53.147263,20100
2016-02-18,54.820000,54.820000,54.200001,54.580002,52.904938,26700
2016-02-19,54.439999,54.869999,54.189999,54.830002,53.147263,18900
2016-02-22,55.240002,55.450001,55.130001,55.180000,53.486523,51000
2016-02-23,55.110001,55.389999,55.020000,55.259998,53.564064,31300
2016-02-24,54.950001,55.669998,54.619999,55.619999,53.913010,25900
2016-02-25,55.750000,56.139999,55.490002,56.139999,54.417057,33600
2016-02-26,56.570000,56.570000,55.869999,56.009998,54.291046,24700
2016-02-29,56.020000,56.160000,55.669998,55.669998,53.961483,23800
2016-03-01,55.889999,56.340000,55.840000,56.209999,54.484909,86300
2016-03-02,56.180000,56.310001,55.950001,56.310001,54.581844,115200
2016-03-03,56.169998,56.540001,55.880001,56.520000,54.785397,127800
2016-03-04,56.250000,56.540001,56.080002,56.419998,54.688457,23900
2016-03-07,56.189999,56.340000,56.009998,56.160000,54.436440,43900
2016-03-08,55.959999,56.310001,55.910000,55.990002,54.271664,29100
2016-03-09,56.459999,56.459999,55.990002,56.209999,54.484909,75000
2016-03-10,56.439999,56.560001,55.709999,56.090000,54.368599,111600
2016-03-11,56.439999,56.520000,56.279999,56.480000,54.746628,33700
2016-03-14,56.439999,56.439999,56.200001,56.369999,54.639996,39000
2016-03-15,56.049999,56.500000,56.049999,56.299999,54.572147,26200
2016-03-16,56.250000,56.810001,56.130001,56.709999,54.969559,34700
2016-03-17,56.599998,56.980000,56.570000,56.869999,55.124653,33500
2016-03-18,57.020000,57.189999,56.799999,56.930000,55.182812,41900
2016-03-21,56.830002,56.830002,56.610001,56.680000,54.940487,22600
2016-03-22,56.490002,56.660000,56.299999,56.490002,54.756313,49100
2016-03-23,56.160000,56.540001,56.160000,56.299999,54.572147,83000
2016-03-24,56.110001,56.130001,55.810001,56.049999,54.329819,15100
2016-03-28,56.220001,56.529999,56.060001,56.389999,54.659386,74900
2016-03-29,56.400002,57.080002,56.400002,57.029999,55.279736,21100
2016-03-30,57.270000,57.299999,57.000000,57.040001,55.289440,44100
2016-03-31,57.029999,57.130001,56.910000,56.990002,55.240971,23100
2016-04-01,56.750000,57.419998,56.720001,57.419998,55.657772,15700
2016-04-04,57.369999,57.369999,56.880001,56.970001,55.221584,55400
2016-04-05,56.770000,56.910000,56.639999,56.700001,54.959873,37300
2016-04-06,56.869999,57.230000,56.720001,57.230000,55.473606,53500
2016-04-07,57.020000,57.299999,56.450001,56.720001,54.979256,43100
2016-04-08,56.889999,57.080002,56.730000,56.849998,55.105270,12300
2016-04-11,57.110001,57.160000,56.459999,56.459999,54.727242,25000
2016-04-12,56.500000,56.820000,56.419998,56.730000,54.988956,27700
2016-04-13,56.959999,56.959999,56.279999,56.470001,54.736931,23000
2016-04-14,56.439999,56.599998,56.090000,56.130001,54.407364,22700
2016-04-15,56.040001,56.419998,56.040001,56.410000,54.678772,41300
2016-04-18,56.349998,56.599998,56.240002,56.520000,54.785397,77100
2016-04-19,56.680000,56.680000,56.450001,56.560001,54.824173,19600
2016-04-20,56.419998,56.490002,56.150002,56.180000,54.455837,57600
2016-04-21,56.080002,56.080002,55.200001,55.200001,53.505909,48100
2016-04-22,54.990002,55.240002,54.939999,55.230000,53.534977,17100
2016-04-25,55.160000,55.580002,54.939999,55.529999,53.825779,14800
2016-04-26,55.669998,55.820000,55.509998,55.580002,53.874245,35600
2016-04-27,55.630001,55.849998,55.349998,55.750000,54.039024,30100
2016-04-28,55.439999,56.169998,55.439999,55.860001,54.145653,45500
2016-04-29,55.900002,56.290001,55.680000,56.049999,54.329819,35100
2016-05-02,56.070000,56.660000,56.070000,56.599998,54.862934,39600
2016-05-03,56.330002,56.500000,55.840000,55.970001,54.252277,14600
2016-05-04,55.750000,56.099998,55.500000,55.939999,54.223194,68200
2016-05-05,56.040001,56.400002,55.790001,55.939999,54.223194,18500
