Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,117.080002,117.080002,115.830002,116.019997,116.019997,957200
2016-01-04,114.610001,114.610001,113.430000,114.449997,114.449997,119200
2016-01-05,115.129997,115.199997,114.580002,115.150002,115.150002,32300
2016-01-06,114.339996,115.169998,114.120003,114.760002,114.760002,56800
2016-01-07,113.099998,114.290001,112.830002,113.230003,113.230003,70200
2016-01-08,113.949997,113.949997,112.349998,112.489998,112.489998,63200
2016-01-11,113.290001,113.459999,112.269997,113.190002,113.190002,79000
2016-01-12,113.830002,114.110001,112.959999,113.989998,113.989998,28700
2016-01-13,113.959999,113.970001,111.510002,111.529999,111.529999,1268500
2016-01-14,111.959999,112.760002,111.320000,112.070000,112.070000,171800
2016-01-15,110.589996,110.940002,109.330002,110.370003,110.370003,64000
2016-01-19,111.750000,111.750000,110.489998,111.260002,111.260002,184200
2016-01-20,110.220001,110.699997,107.919998,110.099998,110.099998,208400
2016-01-21,110.309998,110.620003,109.489998,110.220001,110.220001,46500
2016-01-22,111.339996,112.440002,110.769997,112.290001,112.290001,43100
2016-01-25,112.120003,112.120003,110.959999,111.070000,111.070000,46600
2016-01-26,111.389999,112.660004,111.389999,112.129997,112.129997,25300
2016-01-27,112.000000,113.180000,111.250000,111.809998,111.809998,35900
2016-01-28,112.419998,113.730003,112.089996,113.330002,113.330002,62500
2016-01-29,113.779999,115.570000,113.639999,115.510002,115.510002,60000
2016-02-01,115.510002,116.860001,115.220001,116.410004,116.410004,138400
2016-02-02,115.650002,116.230003,114.610001,114.830002,114.830002,116400
2016-02-03,115.160004,115.320000,113.470001,114.379997,114.379997,76800
2016-02-04,114.169998,114.199997,112.760002,113.269997,113.269997,49300
2016-02-05,113.680000,113.919998,112.820000,113.209999,113.209999,26400
2016-02-08,112.480003,113.029999,111.580002,112.870003,112.870003,64500
2016-02-09,111.930000,114.190002,111.879997,113.639999,113.639999,69700
2016-02-10,114.349998,115.000000,113.739998,113.879997,113.879997,22500
2016-02-11,113.239998,113.570000,112.050003,113.059998,113.059998,57400
2016-02-12,114.570000,114.750000,113.279999,114.720001,114.720001,69800
2016-02-16,115.730003,116.099998,115.000000,115.959999,115.959999,39900
2016-02-17,116.830002,117.540001,116.290001,117.150002,117.150002,61900
2016-02-18,117.269997,117.269997,116.169998,116.739998,116.739998,115300
2016-02-19,116.699997,117.129997,116.019997,117.000000,117.000000,111900
2016-02-22,117.820000,117.820000,116.860001,117.250000,117.250000,456900
2016-02-23,117.220001,117.540001,116.949997,117.330002,117.330002,236400
2016-02-24,116.989998,117.980003,116.360001,117.820000,117.820000,67600
2016-02-25,118.309998,119.370003,118.000000,119.230003,119.230003,128400
2016-02-26,119.709999,119.709999,117.589996,117.830002,117.830002,136900
2016-02-29,118.190002,118.709999,117.610001,117.750000,117.750000,170500
2016-03-01,118.430000,118.750000,118.019997,118.489998,118.489998,99600
2016-03-02,118.410004,118.669998,117.620003,118.589996,118.589996,67300
2016-03-03,118.260002,119.339996,117.779999,119.239998,119.239998,78800
2016-03-04,119.139999,119.980003,118.820000,119.709999,119.709999,88400
2016-03-07,119.459999,119.570000,118.650002,118.760002,118.760002,98100
2016-03-08,118.720001,119.559998,118.519997,118.980003,118.980003,37200
2016-03-09,119.440002,120.120003,119.440002,119.919998,119.919998,43400
2016-03-10,120.239998,120.650002,118.919998,119.860001,119.860001,93400
2016-03-11,120.570000,120.790001,120.180000,120.669998,120.669998,53600
2016-03-14,120.680000,120.769997,120.230003,120.570000,120.570000,41600
2016-03-15,120.320000,121.199997,120.320000,120.989998,120.989998,47500
2016-03-16,120.830002,121.610001,120.260002,121.389999,121.389999,83000
2016-03-17,121.139999,122.239998,121.139999,121.949997,121.949997,97500
2016-03-18,121.639999,121.680000,121.070000,121.099998,121.099998,65900
2016-03-21,121.110001,121.290001,120.410004,120.949997,120.949997,91300
2016-03-22,120.730003,120.750000,120.019997,120.089996,120.089996,95900
2016-03-23,120.029999,120.760002,119.699997,120.290001,120.290001,35500
2016-03-24,119.739998,120.199997,119.620003,120.010002,120.010002,47500
2016-03-28,120.250000,121.059998,120.250000,120.610001,120.610001,54200
2016-03-29,120.760002,121.910004,120.720001,121.660004,121.660004,51700
2016-03-30,122.150002,122.470001,121.750000,122.269997,122.269997,57200
2016-03-31,122.570000,122.570000,121.550003,121.750000,121.750000,84700
2016-04-01,121.320000,123.360001,121.320000,123.260002,123.260002,145600
2016-04-04,123.300003,123.300003,122.250000,122.739998,122.739998,174100
2016-04-05,122.290001,122.419998,121.660004,121.910004,121.910004,300200
2016-04-06,122.089996,123.029999,121.989998,123.029999,123.029999,51400
2016-04-07,122.519997,122.540001,121.320000,121.779999,121.779999,34600
2016-04-08,122.099998,122.400002,121.949997,122.260002,122.260002,63200
2016-04-11,122.730003,122.910004,121.440002,121.449997,121.449997,43700
2016-04-12,121.709999,122.089996,121.389999,122.050003,122.050003,27000
2016-04-13,122.839996,122.839996,120.680000,121.180000,121.180000,80900
2016-04-14,121.019997,121.250000,120.589996,120.660004,120.660004,39300
2016-04-15,120.660004,121.400002,120.209999,121.320000,121.320000,36900
2016-04-18,121.300003,121.739998,121.040001,121.650002,121.650002,42900
2016-04-19,121.820000,121.970001,121.379997,121.739998,121.739998,57200
2016-04-20,121.820000,121.820000,120.739998,120.879997,120.879997,96700
2016-04-21,120.750000,120.750000,118.349998,118.370003,118.370003,103500
2016-04-22,118.180000,118.760002,117.739998,118.760002,118.760002,59300
2016-04-25,118.540001,119.680000,118.470001,119.629997,119.629997,36700
2016-04-26,119.809998,120.080002,119.220001,119.440002,119.440002,182000
2016-04-27,119.910004,120.500000,119.139999,120.230003,120.230003,37100
2016-04-28,119.500000,121.389999,119.500000,120.480003,120.480003,30100
2016-04-29,120.739998,120.739998,119.820000,120.629997,120.629997,38600
2016-05-02,120.839996,122.040001,120.779999,121.910004,121.910004,272400
2016-05-03,121.650002,121.889999,121.000000,121.410004,121.410004,31900
2016-05-04,120.910004,121.889999,120.650002,121.599998,121.599998,33300
2016-05-05,121.540001,122.470001,121.540001,121.860001,121.860001,41900
2016-05-06,122.220001,122.500000,121.199997,122.320000,122.320000,35000
2016-05-09,122.849998,123.680000,122.849998,123.320000,123.320000,41700
