Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,15.940000,16.250000,15.750000,15.980000,9.344503,327100
2016-01-04,15.700000,16.240000,15.320000,16.219999,9.484845,378000
2016-01-05,16.400000,16.570000,16.030001,16.450001,9.619342,195200
2016-01-06,16.270000,16.500000,16.150000,16.360001,9.566713,212600
2016-01-07,16.360001,16.510000,15.720000,15.750000,9.210008,162400
2016-01-08,15.680000,16.070000,15.430000,15.530000,9.081361,224500
2016-01-11,15.050000,15.120000,13.900000,14.180000,8.728291,592000
2016-01-12,14.500000,14.500000,13.420000,13.900000,8.555940,348300
2016-01-13,13.820000,13.990000,12.740000,12.900000,7.940404,421900
2016-01-14,12.940000,13.020000,12.170000,12.840000,7.903473,360400
2016-01-15,12.400000,12.510000,11.890000,12.410000,7.638791,363000
2016-01-19,12.480000,12.850000,12.190000,12.290000,7.564929,477700
2016-01-20,12.070000,12.070000,10.710000,11.610000,7.146364,417900
2016-01-21,11.410000,12.740000,11.410000,12.000000,7.386423,275400
2016-01-22,12.800000,13.190000,12.680000,13.090000,8.057356,221300
2016-01-25,12.990000,13.240000,12.560000,12.710000,7.823453,234800
2016-01-26,12.680000,13.110000,12.680000,13.050000,8.032735,58000
2016-01-27,12.950000,13.390000,12.800000,12.930000,7.958871,81900
2016-01-28,13.230000,13.300000,12.880000,13.120000,8.075824,54800
2016-01-29,13.260000,13.450000,13.250000,13.360000,8.223550,118500
2016-02-01,13.200000,13.500000,13.000000,13.450000,8.278949,115700
2016-02-02,13.270000,13.270000,12.860000,12.940000,7.965027,73300
2016-02-03,12.940000,13.200000,12.590000,13.200000,8.125065,485300
2016-02-04,13.150000,13.340000,12.950000,13.040000,8.026581,966500
2016-02-05,13.100000,13.370000,13.000000,13.020000,8.014269,907500
2016-02-08,12.660000,12.910000,12.090000,12.480000,7.681880,874700
2016-02-09,12.090000,12.420000,11.650000,11.770000,7.244851,525900
2016-02-10,11.800000,12.080000,11.660000,11.680000,7.189452,67700
2016-02-11,11.600000,11.700000,11.020000,11.170000,6.875529,137100
2016-02-12,11.270000,11.820000,11.270000,11.630000,7.158675,115500
2016-02-16,11.700000,12.160000,11.700000,11.930000,7.343337,798700
2016-02-17,12.080000,12.770000,12.000000,12.610000,7.761899,897200
