Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,26.139999,26.174999,26.010000,26.010000,24.496151,23600
2016-01-04,25.459999,25.459999,25.280001,25.346001,23.870798,13200
2016-01-05,25.719999,25.820000,25.719999,25.790001,24.288958,4300
2016-01-06,25.129999,25.240000,25.009001,25.090000,23.629696,6600
2016-01-07,24.620001,24.840000,24.510000,24.570000,23.139961,30700
2016-01-08,24.450001,24.466000,23.900000,23.900000,22.508957,6500
2016-01-11,24.280001,24.280001,23.719999,24.118999,22.715210,6300
2016-01-12,23.990000,24.010000,23.700001,23.872000,22.482590,6000
2016-01-13,24.190001,24.190001,23.510000,23.510000,22.141657,27700
2016-01-14,24.059999,24.233999,23.937000,24.143999,22.738754,2800
2016-01-15,23.080000,23.167999,22.790001,23.000000,21.661341,17700
2016-01-19,23.240000,23.240000,22.855000,23.046000,21.704662,4500
2016-01-20,22.139999,22.186001,21.510000,22.186001,20.894716,18600
2016-01-21,21.600000,22.121000,21.590000,21.979000,20.699764,14000
2016-01-22,22.750000,23.114000,22.700001,23.112000,21.766819,8800
2016-01-25,22.770000,22.799999,22.590000,22.590000,21.275206,4300
2016-01-26,22.780001,22.906000,22.639999,22.840000,21.510651,54600
2016-01-27,23.260000,23.520000,23.129999,23.139999,21.793192,7700
2016-01-28,23.250000,23.250000,23.049999,23.110001,21.764936,3100
2016-01-29,23.200001,23.490000,23.190001,23.480000,22.113401,9400
2016-02-01,22.209999,22.240999,22.040001,22.160000,20.870228,26800
2016-02-02,22.000000,22.000000,21.576000,21.639999,20.380495,10400
2016-02-03,21.309999,21.309999,20.490000,20.799999,19.589388,10100
2016-02-04,20.483999,20.629999,20.350000,20.450001,19.259758,7000
2016-02-05,20.010000,20.010000,19.910000,19.940001,18.779442,2800
2016-02-08,19.580000,19.620001,19.129999,19.260000,18.139017,4500
2016-02-09,18.610001,18.816999,18.459999,18.549999,17.470343,39800
2016-02-10,18.150000,18.305000,17.624001,17.639999,16.613306,13100
2016-02-11,17.180000,17.190001,16.891001,17.059999,16.067062,245600
2016-02-12,17.209999,17.680000,17.100000,17.680000,16.650978,7800
2016-02-16,18.910000,18.910000,18.690001,18.840000,17.743464,16000
2016-02-17,19.184000,19.212000,19.000000,19.000000,17.894152,5900
2016-02-18,19.200001,19.250000,18.830000,18.850000,17.752880,10000
2016-02-19,18.510000,18.510000,18.379999,18.450001,17.376162,1200
2016-02-22,18.680000,18.749001,18.600000,18.600000,17.517433,1100
2016-02-23,18.320000,18.370001,18.290001,18.290001,17.225475,1800
2016-02-24,18.350000,18.730000,18.070000,18.719999,17.630447,16900
2016-02-25,19.080000,19.270000,19.080000,19.270000,18.148436,2600
2016-02-26,19.600000,19.600000,19.337999,19.360001,18.233198,2400
2016-02-29,19.030001,19.112000,18.920000,18.920000,17.818810,1800
2016-03-01,19.520000,19.559999,19.490000,19.500000,18.365051,1500
2016-03-02,19.500000,19.500000,19.500000,19.500000,18.365051,100
2016-03-03,20.350000,20.450001,20.330000,20.360001,19.174994,5700
2016-03-04,20.559999,20.709999,20.559999,20.700001,19.495207,1400
2016-03-07,20.480000,20.514000,20.450001,20.514000,19.320034,1400
2016-03-08,20.030001,20.068001,19.930000,19.959999,18.798273,4100
2016-03-09,19.719999,19.719999,19.700001,19.700001,18.553410,2000
2016-03-10,20.190001,20.190001,19.469999,19.480000,18.346212,3700
2016-03-11,20.309999,20.469999,20.290001,20.469999,19.278591,10100
2016-03-14,20.790001,20.840000,20.790001,20.830000,19.617641,1400
2016-03-15,20.430000,20.434000,20.340000,20.434000,19.244688,6200
2016-03-16,20.110001,20.139999,20.100000,20.139999,18.967800,3400
2016-03-17,19.889999,19.938999,19.799999,19.938999,18.778496,4700
2016-03-18,19.906000,19.940001,19.879999,19.933001,18.772850,7300
2016-03-21,19.959999,20.059999,19.940001,19.980000,18.817112,84100
2016-03-22,20.000000,20.040001,19.959999,20.040001,18.873623,1900
2016-03-23,20.049999,20.049999,19.940001,19.940001,18.779442,2800
2016-03-24,19.379999,19.490000,19.370001,19.490000,18.355633,4400
2016-03-28,19.969999,20.020000,19.969999,19.972000,18.809580,2500
2016-03-29,19.980000,19.980000,19.889999,19.972000,18.809580,3000
2016-03-30,19.834000,19.864000,19.809999,19.809999,18.657005,3700
2016-03-31,19.790001,19.790001,19.740000,19.752001,18.602381,1100
2016-04-01,18.959999,19.046000,18.959999,19.046000,17.937473,1400
2016-04-04,19.020000,19.020000,18.950001,19.002001,17.896036,5200
2016-04-05,18.230000,18.261000,18.129999,18.139999,17.084206,9800
2016-04-06,18.190001,18.198000,18.090000,18.198000,17.138828,7700
2016-04-07,17.930000,17.930000,17.700001,17.806999,16.770586,5000
2016-04-08,18.430000,18.430000,18.280001,18.280001,17.216059,6800
2016-04-11,18.160000,18.160000,18.030001,18.100000,17.046532,5500
2016-04-12,18.809999,19.007999,18.809999,18.969999,17.865896,35400
2016-04-13,19.700001,19.830000,19.680000,19.799999,18.647589,36600
2016-04-14,19.940001,20.000000,19.940001,20.000000,18.835949,2900
2016-04-15,19.660000,19.660000,19.549999,19.605000,18.463938,8300
2016-04-18,19.332001,19.539000,19.332001,19.510000,18.374470,3400
2016-04-19,20.282000,20.299999,20.160999,20.202999,19.027132,10500
2016-04-20,20.320999,20.469999,20.320999,20.389999,19.203251,1000
2016-04-21,20.330000,20.340000,20.240000,20.240000,19.061981,24200
2016-04-22,21.209999,21.389999,21.209999,21.389999,20.145046,73600
