Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,29.379999,30.059999,29.059999,29.070000,28.666601,3945100
2016-01-04,27.340000,27.469999,26.510000,27.410000,27.029638,9357400
2016-01-05,27.639999,27.910000,27.070000,27.740000,27.355059,5957900
2016-01-06,26.730000,27.040001,26.180000,26.570000,26.201294,6955000
2016-01-07,24.940001,25.700001,24.219999,24.400000,24.061407,8874700
2016-01-08,25.170000,25.270000,23.180000,23.260000,22.937227,8050500
2016-01-11,23.730000,23.830000,22.780001,23.490000,23.164034,8001200
2016-01-12,24.200001,24.250000,23.000000,23.870001,23.538763,7117200
2016-01-13,24.250000,24.379999,21.790001,22.000000,21.694714,12508500
2016-01-14,22.330000,23.170000,21.580000,22.660000,22.345554,10585200
2016-01-15,20.969999,21.469999,20.350000,21.190001,20.895950,11108200
2016-01-19,21.959999,22.030001,20.700001,21.049999,20.757893,6447300
2016-01-20,19.980000,20.549999,18.559999,19.889999,19.613989,11814000
2016-01-21,19.940001,20.780001,19.610001,19.770000,19.495655,4589700
2016-01-22,20.600000,21.129999,20.490000,20.889999,20.600115,10258900
2016-01-25,20.719999,20.830000,19.580000,19.620001,19.347740,5976700
2016-01-26,19.879999,20.799999,19.850000,20.660000,20.373308,5696800
2016-01-27,20.500000,21.379999,19.879999,20.219999,19.939413,6169200
2016-01-28,20.809999,20.910000,19.950001,20.209999,19.929548,6236000
2016-01-29,20.500000,22.049999,20.459999,21.990000,21.684851,6861300
2016-02-01,21.639999,22.219999,21.330000,21.850000,21.546795,4528300
2016-02-02,21.040001,21.129999,20.059999,20.270000,19.988720,6305100
2016-02-03,20.559999,20.610001,18.770000,20.370001,20.087332,15091300
2016-02-04,20.040001,21.129999,20.020000,20.790001,20.501503,8616400
2016-02-05,20.730000,21.030001,19.639999,19.809999,19.535101,7204500
2016-02-08,19.090000,19.100000,17.500000,18.219999,17.967165,14164100
2016-02-09,17.450001,18.469999,17.299999,18.040001,17.789663,5084100
2016-02-10,18.480000,19.160000,17.969999,17.969999,17.720634,13072200
2016-02-11,16.559999,17.020000,16.129999,16.580000,16.349922,14138600
2016-02-12,17.469999,18.410000,17.330000,18.350000,18.095362,6432200
2016-02-16,19.160000,19.459999,18.770000,19.350000,19.081486,6461300
2016-02-17,19.799999,20.299999,19.700001,20.070000,19.791494,5772300
2016-02-18,20.180000,20.299999,19.530001,19.750000,19.475935,5136500
2016-02-19,19.510000,20.010000,19.250000,19.879999,19.604130,4337100
2016-02-22,20.549999,20.920000,20.510000,20.700001,20.412750,4094700
2016-02-23,20.410000,20.450001,19.639999,19.719999,19.446350,5064400
2016-02-24,18.940001,19.809999,18.469999,19.690001,19.416767,6936100
2016-02-25,19.740000,20.540001,19.690001,20.540001,20.254972,4324800
2016-02-26,20.950001,21.299999,20.580000,20.809999,20.521225,5333700
2016-02-29,20.840000,21.110001,20.180000,20.180000,19.899967,4022100
2016-03-01,20.700001,22.250000,20.670000,22.250000,21.941242,7159500
2016-03-02,22.110001,22.750000,22.059999,22.750000,22.434307,6090500
2016-03-03,22.790001,23.190001,22.450001,23.170000,22.848475,4836900
2016-03-04,23.639999,23.750000,22.959999,23.410000,23.085146,6430100
2016-03-07,23.190001,23.430000,22.799999,23.290001,22.966810,5591300
2016-03-08,22.809999,22.940001,22.129999,22.200001,21.891937,5328800
2016-03-09,22.530001,22.600000,22.040001,22.290001,21.980688,4412900
2016-03-10,22.740000,23.000000,21.459999,22.240000,21.931379,7103200
2016-03-11,22.799999,23.920000,22.780001,23.889999,23.558483,6009200
2016-03-14,23.680000,23.809999,23.250000,23.600000,23.272511,4125300
2016-03-15,23.299999,23.549999,22.950001,23.500000,23.173895,3608300
2016-03-16,23.209999,23.830000,23.059999,23.570000,23.242928,4591200
2016-03-17,23.400000,24.620001,23.170000,24.410000,24.071268,5402200
