Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,35.110001,35.389999,34.959999,34.959999,32.884750,96100
2016-01-04,34.290001,34.369999,33.779999,34.060001,32.038181,305300
2016-01-05,34.119999,34.320000,33.840000,34.080002,32.056992,181500
2016-01-06,33.580002,33.910000,33.330002,33.590000,31.596075,210000
2016-01-07,32.980000,33.240002,32.599998,32.680000,30.740093,422400
2016-01-08,33.020000,33.020000,32.029999,32.090000,30.185120,149100
2016-01-11,32.250000,32.450001,31.830000,32.070000,30.166306,178600
2016-01-12,32.439999,32.470001,31.799999,32.360001,30.439093,189800
2016-01-13,32.529999,32.549999,31.040001,31.150000,29.300915,665600
2016-01-14,31.270000,31.719999,30.940001,31.540001,29.667767,305100
2016-01-15,30.520000,31.000000,30.240000,30.930000,29.093975,1287600
2016-01-19,31.209999,31.389999,30.510000,30.719999,28.896441,277500
2016-01-20,30.150000,30.730000,29.610001,30.410000,28.604845,529700
2016-01-21,30.469999,30.799999,30.000000,30.000000,28.219183,292400
2016-01-22,30.490000,30.620001,30.209999,30.440001,28.633060,145900
2016-01-25,30.270000,30.360001,29.290001,29.309999,27.570139,172900
2016-01-26,29.450001,30.139999,29.450001,30.070000,28.285027,328700
2016-01-27,30.090000,31.010000,29.940001,30.370001,28.567219,437300
2016-01-28,30.650000,30.980000,30.480000,30.660000,28.840004,398600
2016-01-29,30.809999,31.170000,30.590000,31.160000,29.310324,237600
2016-02-01,30.950001,31.070000,30.719999,30.940001,29.103380,170000
2016-02-02,30.530001,30.530001,29.920000,30.070000,28.285027,176800
2016-02-03,30.240000,30.389999,29.299999,30.330000,28.529593,328600
2016-02-04,30.250000,30.969999,30.240000,30.730000,28.905844,154000
2016-02-05,30.750000,31.059999,30.290001,30.370001,28.567219,1239000
2016-02-08,29.879999,29.950001,29.290001,29.680000,27.918175,302700
2016-02-09,29.170000,29.959999,29.070000,29.760000,27.993431,415200
2016-02-10,29.980000,30.290001,29.459999,29.469999,27.720640,1518200
2016-02-11,28.740000,28.889999,28.120001,28.340000,26.657719,441000
2016-02-12,28.900000,29.650000,28.760000,29.629999,27.871143,1935500
2016-02-16,30.120001,30.780001,29.820000,30.520000,28.708317,340500
2016-02-17,30.799999,31.010000,30.459999,30.549999,28.736528,257400
2016-02-18,30.650000,30.650000,29.900000,30.040001,28.256807,212100
2016-02-19,29.870001,30.280001,29.760000,30.170000,28.379091,223500
2016-02-22,30.540001,30.790001,30.540001,30.760000,28.934069,126500
2016-02-23,30.629999,30.629999,29.770000,29.940001,28.162743,237400
2016-02-24,29.540001,29.770000,28.959999,29.730000,27.965208,391400
