Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,12.750000,12.760000,12.590000,12.670000,8.468971,17800
2016-01-04,12.650000,12.780000,12.100000,12.740000,8.515758,40000
2016-01-05,12.590000,12.870000,12.200000,12.200000,8.154808,218600
2016-01-06,12.190000,12.350000,11.800000,11.810000,7.894122,300700
2016-01-07,11.710000,11.710000,10.590000,10.900000,7.285853,340500
2016-01-08,11.080000,11.370000,10.240000,10.240000,6.844691,286000
2016-01-11,10.380000,10.620000,9.500000,9.760000,6.538278,129900
2016-01-12,10.000000,10.260000,9.500000,9.870000,6.611965,209400
2016-01-13,9.980000,10.140000,9.060000,9.430000,6.317208,211400
2016-01-14,9.210000,9.710000,8.280000,9.560000,6.404295,375400
2016-01-15,9.080000,9.210000,8.770000,9.150000,6.129633,240300
2016-01-19,9.390000,9.580000,8.700000,9.000000,6.029149,184800
2016-01-20,8.560000,8.860000,7.910000,8.510000,5.700895,150200
2016-01-21,8.670000,9.390000,8.630000,8.950000,5.995655,245400
2016-01-22,9.060000,9.800000,9.050000,9.800000,6.565075,289900
2016-01-25,9.570000,9.770000,9.000000,9.000000,6.029149,168800
2016-01-26,9.070000,9.590000,9.070000,9.590000,6.424392,153800
2016-01-27,9.550000,9.670000,9.060000,9.440000,6.323909,257100
2016-01-28,9.540000,9.610000,9.040000,9.160000,6.136335,334900
2016-01-29,9.150000,9.660000,9.140000,9.640000,6.457889,437200
2016-02-01,9.390000,9.980000,9.340000,9.870000,6.611965,412700
2016-02-02,9.810000,9.810000,9.070000,9.120000,6.109537,106500
2016-02-03,9.230000,9.270000,8.730000,9.030000,6.049245,148100
2016-02-04,9.030000,9.430000,9.030000,9.370000,6.277015,60900
2016-02-05,9.350000,9.630000,9.310000,9.350000,6.263616,61600
2016-02-08,9.130000,9.130000,8.280000,8.530000,5.714294,30400
2016-02-09,8.410000,8.590000,8.090000,8.430000,5.647303,37800
2016-02-10,8.450000,8.750000,8.300000,8.330000,5.585613,5100
2016-02-11,7.810000,7.880000,7.500000,7.590000,5.089412,18100
2016-02-12,7.910000,8.500000,7.830000,8.500000,5.699606,33200
2016-02-16,8.840000,9.040000,8.650000,9.020000,6.048287,31400
2016-02-17,9.110000,9.730000,9.110000,9.720000,6.517668,50600
2016-02-18,9.800000,9.820000,9.580000,9.820000,6.584720,12700
2016-02-19,9.500000,9.890000,9.470000,9.520000,6.383557,88500
2016-02-22,9.840000,9.970000,9.790000,9.930000,6.658482,103900
2016-02-23,9.880000,9.880000,9.560000,9.570000,6.417082,22000
2016-02-24,9.450000,9.650000,9.080000,9.600000,6.437199,129200
2016-02-25,9.600000,9.740000,9.490000,9.650000,6.470728,17900
2016-02-26,9.800000,10.210000,9.800000,10.190000,6.832820,44600
2016-02-29,10.250000,10.660000,10.130000,10.570000,7.087626,18500
2016-03-01,10.760000,11.060000,10.710000,11.050000,7.409489,32400
2016-03-02,10.940000,11.410000,10.940000,11.400000,7.644176,30500
2016-03-03,11.330000,11.550000,11.300000,11.520000,7.724643,66600
2016-03-04,11.430000,11.950000,11.430000,11.850000,7.945917,54800
2016-03-07,11.790000,12.140000,11.760000,11.970000,8.026386,28700
2016-03-08,11.940000,12.070000,11.540000,11.640000,7.805107,37100
2016-03-09,11.520000,11.680000,11.290000,11.460000,7.838759,52100
2016-03-10,11.530000,11.620000,11.350000,11.370000,7.777198,10700
2016-03-11,11.800000,11.910000,11.770000,11.830000,8.091844,5400
2016-03-14,11.840000,11.850000,11.630000,11.740000,8.030283,31900
2016-03-15,11.330000,11.980000,10.970000,11.420000,7.811398,40900
2016-03-16,11.490000,11.870000,11.340000,11.850000,8.105523,36600
2016-03-17,11.910000,12.460000,11.910000,12.320000,8.427011,16600
2016-03-18,12.430000,12.430000,12.240000,12.250000,8.379128,8400
2016-03-21,12.320000,12.430000,12.120000,12.330000,8.433847,10400
2016-03-22,12.220000,12.350000,12.100000,12.250000,8.379128,4300
2016-03-23,12.060000,12.250000,11.750000,11.750000,8.037122,17000
2016-03-24,11.500000,11.500000,11.250000,11.390000,7.790879,10900
2016-03-28,11.420000,11.640000,11.420000,11.570000,7.913999,4200
2016-03-29,11.730000,12.070000,11.720000,12.070000,8.256002,10200
2016-03-30,12.110000,12.390000,12.110000,12.270000,8.392808,10100
2016-03-31,12.340000,12.340000,12.250000,12.280000,8.399649,2800
2016-04-01,12.300000,12.310000,11.940000,12.270000,8.392808,36200
2016-04-04,12.210000,12.290000,11.890000,11.890000,8.132882,20900
2016-04-05,11.850000,11.850000,11.060000,11.440000,7.825079,14200
2016-04-06,11.550000,11.550000,11.280000,11.380000,7.784038,5800
2016-04-07,11.290000,11.310000,10.830000,10.890000,7.448873,70200
2016-04-08,10.890000,11.210000,10.830000,10.850000,7.490364,73700
2016-04-11,10.900000,11.260000,10.900000,10.980000,7.580113,29700
2016-04-12,10.990000,11.210000,10.840000,11.210000,7.738890,27700
2016-04-13,11.540000,11.900000,11.500000,11.890000,8.208338,50200
2016-04-14,11.890000,11.980000,11.750000,11.900000,8.215239,21300
2016-04-15,11.920000,12.020000,11.850000,11.950000,8.249757,37500
2016-04-18,11.770000,12.230000,11.770000,12.230000,8.443051,9400
2016-04-19,12.410000,12.550000,12.210000,12.430000,8.581126,52300
2016-04-20,12.540000,12.640000,12.470000,12.640000,8.726100,11500
2016-04-21,12.540000,12.560000,12.210000,12.260000,8.463766,26600
2016-04-22,12.390000,12.460000,12.320000,12.370000,8.539704,38000
2016-04-25,12.150000,12.170000,11.840000,12.000000,8.284273,106300
