Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,10.550000,10.630000,10.480000,10.520000,8.619983,475400
2016-01-04,10.310000,10.410000,10.230000,10.410000,8.529850,87400
2016-01-05,10.360000,10.390000,10.280000,10.330000,8.464300,452900
2016-01-06,10.190000,10.240000,10.160000,10.200000,8.357778,700100
2016-01-07,10.000000,10.050000,9.880000,9.910000,8.120154,211300
2016-01-08,10.000000,10.000000,9.770000,9.770000,8.005442,252700
2016-01-11,9.850000,9.880000,9.640000,9.710000,7.956276,155400
2016-01-12,9.780000,9.810000,9.620000,9.720000,7.964470,505000
2016-01-13,9.750000,9.760000,9.480000,9.520000,7.800592,219900
2016-01-14,9.540000,9.670000,9.380000,9.610000,7.874337,325300
2016-01-15,9.350000,9.380000,9.220000,9.350000,7.661297,259200
2016-01-19,9.430000,9.430000,9.220000,9.300000,7.620327,429300
2016-01-20,9.130000,9.220000,8.910000,9.160000,7.505611,599000
2016-01-21,9.100000,9.330000,9.090000,9.220000,7.554776,133300
2016-01-22,9.400000,9.510000,9.400000,9.480000,7.767816,376000
2016-01-25,9.470000,9.490000,9.320000,9.340000,7.653102,381700
2016-01-26,9.360000,9.520000,9.360000,9.510000,7.792398,198900
2016-01-27,9.480000,9.570000,9.370000,9.430000,7.726848,57700
2016-01-28,9.500000,9.530000,9.390000,9.470000,7.759624,68100
2016-01-29,9.500000,9.620000,9.500000,9.620000,7.882532,136300
2016-02-01,9.570000,9.690000,9.530000,9.670000,7.923500,270800
2016-02-02,9.570000,9.570000,9.400000,9.420000,7.718653,919200
2016-02-03,9.460000,9.490000,9.240000,9.470000,7.759624,324200
2016-02-04,9.460000,9.560000,9.460000,9.510000,7.792398,136300
2016-02-05,9.510000,9.510000,9.410000,9.430000,7.726848,649800
2016-02-08,9.270000,9.270000,8.980000,9.060000,7.423675,1214900
2016-02-09,8.870000,8.990000,8.850000,8.900000,7.292570,212700
2016-02-10,9.040000,9.090000,8.950000,8.960000,7.341733,574600
2016-02-11,8.820000,8.830000,8.690000,8.770000,7.186051,117200
2016-02-12,8.840000,8.990000,8.820000,8.980000,7.358120,274000
2016-02-16,9.140000,9.220000,9.090000,9.220000,7.554776,128800
2016-02-17,9.310000,9.460000,9.310000,9.430000,7.726848,201400
2016-02-18,9.490000,9.490000,9.420000,9.440000,7.735042,140500
2016-02-19,9.380000,9.430000,9.350000,9.400000,7.702265,93100
2016-02-22,9.470000,9.530000,9.470000,9.480000,7.767816,87300
