Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,48.000000,48.430000,48.000000,48.090000,46.101879,2500
2016-01-04,46.799999,46.939999,46.509998,46.939999,44.999420,1200
2016-01-05,47.090000,47.090000,47.090000,47.090000,45.143223,400
2016-01-06,46.220001,46.230000,46.150002,46.230000,44.318775,4600
2016-01-07,45.500000,45.500000,44.740002,44.820000,42.967068,5100
2016-01-08,44.860001,44.860001,44.060001,44.139999,42.315186,2200
2016-01-11,44.090000,44.160000,43.770000,43.790001,41.979652,1900
2016-01-12,44.619999,44.619999,44.209999,44.330002,42.497326,1100
2016-01-13,44.689999,44.689999,43.299999,43.509998,41.711224,1800
2016-01-14,43.799999,44.150002,43.799999,43.970001,42.152210,700
2016-01-15,42.930000,42.930000,42.299999,42.889999,41.116856,4400
2016-01-19,43.349998,43.349998,42.529999,43.009998,41.231899,1800
2016-01-20,41.980000,42.160000,41.369999,41.869999,40.139027,4000
2016-01-21,42.340000,42.660000,42.040001,42.040001,40.301998,3100
2016-01-22,42.689999,42.689999,42.480000,42.590000,40.829258,1600
2016-01-25,41.700001,41.700001,41.650002,41.650002,39.928120,300
2016-01-26,42.310001,42.419998,42.220001,42.419998,40.666290,1700
2016-01-27,42.400002,42.990002,42.189999,42.200001,40.455383,3500
2016-01-28,42.480000,42.480000,42.130001,42.480000,40.723801,1500
2016-01-29,42.959999,43.250000,42.959999,43.250000,41.461971,2100
2016-02-01,43.060001,43.259998,43.060001,43.259998,41.471558,800
2016-02-02,42.619999,42.619999,41.990002,41.990002,40.254066,900
2016-02-03,42.340000,42.340000,40.980000,41.910000,40.177364,41100
2016-02-04,41.810001,42.580002,41.810001,42.029999,40.292412,11800
2016-02-05,41.820000,41.970001,41.779999,41.869999,40.139027,2400
2016-02-08,40.959999,41.139999,40.630001,40.770000,39.084503,1700
2016-02-09,40.520000,41.090000,40.520000,40.869999,39.180363,4800
2016-02-10,41.490002,41.490002,41.160000,41.160000,39.458374,900
2016-02-11,39.500000,39.500000,39.230000,39.299999,37.675274,8500
2016-02-12,39.750000,40.889999,39.750000,40.880001,39.189953,1400
2016-02-16,41.570000,41.779999,41.279999,41.779999,40.052750,800
2016-02-17,41.990002,42.439999,41.990002,42.380001,40.627941,2000
2016-02-18,42.000000,42.060001,41.939999,42.060001,40.321171,3100
2016-02-19,41.720001,42.049999,41.639999,42.049999,40.311581,4100
2016-02-22,42.680000,42.700001,42.410000,42.419998,40.666290,20500
2016-02-23,41.779999,41.779999,41.779999,41.779999,40.052750,200
2016-02-24,41.009998,41.630001,40.939999,41.630001,39.908947,3400
2016-02-25,41.680000,42.330002,41.680000,42.330002,40.580009,1100
2016-02-26,42.520000,42.990002,42.509998,42.990002,41.212723,1000
2016-02-29,42.990002,42.990002,42.990002,42.990002,41.212723,100
2016-03-01,42.400002,43.689999,42.400002,43.669998,41.864613,500
2016-03-02,43.810001,43.810001,43.810001,43.810001,41.998825,200
2016-03-03,44.080002,44.380001,44.080002,44.380001,42.545258,500
2016-03-04,44.790001,44.790001,44.790001,44.790001,42.938305,300
2016-03-07,44.790001,44.790001,44.790001,44.790001,42.938305,0
2016-03-08,44.320000,44.320000,44.090000,44.099998,42.276833,1700
2016-03-09,43.990002,44.000000,43.840000,43.939999,42.123447,1900
2016-03-10,43.900002,43.900002,43.750000,43.750000,41.941303,700
2016-03-11,44.790001,45.040001,44.790001,45.040001,43.177975,1700
2016-03-14,45.090000,45.090000,45.080002,45.090000,43.225899,900
2016-03-15,44.560001,44.560001,44.560001,44.560001,42.717827,300
2016-03-16,44.560001,44.560001,44.560001,44.560001,42.717827,0
2016-03-17,45.410000,45.439999,45.410000,45.439999,43.561432,700
2016-03-18,45.709999,45.709999,45.700001,45.700001,43.810688,1300
2016-03-21,45.840000,46.070000,45.650002,45.830002,43.935314,700
2016-03-22,45.560001,45.689999,45.549999,45.689999,43.801105,800
2016-03-23,45.650002,45.650002,45.290001,45.290001,43.417633,2100
2016-03-24,44.570000,44.599998,44.570000,44.599998,42.756157,600
2016-03-28,44.950001,45.169998,44.900002,45.029999,43.168385,1000
2016-03-29,44.880001,45.000000,44.840000,45.000000,43.139626,11300
2016-03-30,45.340000,45.610001,45.340000,45.439999,43.561432,5400
2016-03-31,45.509998,45.509998,45.290001,45.340000,43.465569,1600
2016-04-01,45.439999,45.750000,45.410000,45.750000,43.858612,1700
2016-04-04,45.119999,45.119999,45.119999,45.119999,43.254669,100
2016-04-05,44.570000,44.669998,44.549999,44.580002,42.736992,1800
2016-04-06,44.580002,44.700001,44.580002,44.700001,42.852028,900
2016-04-07,44.180000,44.180000,44.060001,44.060001,42.238491,400
2016-04-08,44.439999,44.439999,44.000000,44.000000,42.180962,1000
2016-04-11,44.349998,44.549999,44.349998,44.540001,42.698639,800
2016-04-12,44.290001,44.910000,44.290001,44.889999,43.034172,900
2016-04-13,45.630001,45.910000,45.630001,45.910000,44.012005,3400
2016-04-14,45.910000,45.910000,45.910000,45.910000,44.012005,0
2016-04-15,46.330002,46.330002,46.020000,46.070000,44.165382,3600
2016-04-18,46.160000,46.230000,46.160000,46.180000,44.270844,2700
2016-04-19,46.860001,46.860001,46.750000,46.779999,44.846039,3000
2016-04-20,47.110001,47.340000,47.110001,47.340000,45.382885,2200
2016-04-21,47.320000,47.320000,47.060001,47.060001,45.114471,500
2016-04-22,47.090000,47.630001,47.090000,47.509998,45.545860,500
2016-04-25,47.040001,47.230000,47.040001,47.230000,45.277435,600
2016-04-26,47.380001,47.630001,47.340000,47.560001,45.593792,1800
2016-04-27,47.869999,47.869999,47.869999,47.869999,45.890972,100
2016-04-28,47.560001,47.709999,47.230000,47.240002,45.287022,16900
2016-04-29,46.860001,46.880001,46.830002,46.860001,44.922729,1500
2016-05-02,47.169998,47.419998,46.880001,47.419998,45.459579,800
2016-05-03,46.570000,46.570000,46.369999,46.369999,44.452988,1000
2016-05-04,46.080002,46.150002,46.070000,46.150002,44.242088,1500
2016-05-05,46.380001,46.380001,45.970001,45.970001,44.069527,1000
2016-05-06,46.099998,46.200001,46.029999,46.200001,44.290020,800
2016-05-09,46.150002,46.240002,45.950001,46.020000,44.117462,1100
2016-05-10,46.610001,46.610001,46.610001,46.610001,44.683067,100
2016-05-11,46.610001,46.610001,46.610001,46.610001,44.683067,500
2016-05-12,46.480000,46.490002,46.220001,46.490002,44.568027,1300
2016-05-13,46.250000,46.250000,46.250000,46.250000,44.337952,200
2016-05-16,45.939999,46.080002,45.939999,46.000000,44.098286,2100
2016-05-17,46.000000,46.000000,46.000000,46.000000,44.098286,300
2016-05-18,46.389999,46.470001,46.389999,46.470001,44.548855,900
2016-05-19,46.380001,46.439999,46.169998,46.439999,44.520096,19200
2016-05-20,46.439999,46.439999,46.439999,46.439999,44.520096,100
2016-05-23,46.660000,46.660000,46.660000,46.660000,44.731003,200
2016-05-24,46.950001,47.380001,46.950001,47.380001,45.421230,700
2016-05-25,48.000000,48.000000,47.889999,47.889999,45.910152,800
2016-05-26,47.590000,47.590000,47.480000,47.480000,45.517097,900
2016-05-27,47.740002,47.740002,47.680000,47.680000,45.708832,1500
2016-05-31,47.680000,47.680000,47.680000,47.680000,45.708832,0
2016-06-01,47.680000,47.680000,47.680000,47.680000,45.708832,0
2016-06-02,47.610001,47.820000,47.610001,47.820000,45.843044,1500
2016-06-03,46.700001,46.730000,46.689999,46.700001,44.769348,800
2016-06-06,46.700001,46.700001,46.700001,46.700001,44.769348,0
2016-06-07,47.459999,47.459999,47.410000,47.410000,45.449997,400
2016-06-08,47.349998,47.450001,47.299999,47.450001,45.488335,1000
2016-06-09,46.919998,46.919998,46.919998,46.919998,44.980255,400
2016-06-10,46.060001,46.590000,46.060001,46.480000,44.558437,1200
2016-06-13,46.180000,46.180000,46.180000,46.180000,44.270844,300
2016-06-14,45.299999,45.299999,45.230000,45.240002,43.369709,1800
2016-06-15,45.639999,45.639999,45.189999,45.189999,43.321770,600
2016-06-16,44.660000,45.389999,44.590000,45.389999,43.513496,1600
2016-06-17,45.430000,45.430000,45.150002,45.230000,43.360123,1000
2016-06-20,45.599998,45.910000,45.599998,45.669998,43.781929,900
2016-06-21,45.740002,45.869999,45.740002,45.779999,43.887383,900
2016-06-22,46.330002,46.389999,46.230000,46.259998,44.347534,4500
2016-06-23,46.730000,46.939999,46.730000,46.930000,44.989834,3600
2016-06-24,45.090000,45.090000,44.169998,44.310001,42.478149,2600
2016-06-27,43.099998,43.110001,42.570000,42.570000,40.810085,1000
2016-06-28,43.029999,43.660000,43.029999,43.660000,41.855022,1900
2016-06-29,43.779999,43.779999,43.779999,43.779999,41.970058,400
2016-06-30,44.820000,45.099998,44.820000,45.099998,43.235497,500
2016-07-01,45.290001,45.369999,45.290001,45.369999,43.494331,400
2016-07-05,45.369999,45.369999,45.369999,45.369999,43.638607,0
2016-07-06,44.430000,44.430000,44.430000,44.430000,42.734482,200
2016-07-07,44.430000,44.430000,44.430000,44.430000,42.734482,0
2016-07-08,45.230000,45.459999,45.230000,45.410000,43.677078,1400
2016-07-11,45.799999,45.799999,45.660000,45.660000,43.917534,300
2016-07-12,46.349998,46.360001,46.349998,46.349998,44.581211,700
2016-07-13,46.189999,46.369999,46.060001,46.119999,44.359982,1900
2016-07-14,46.930000,46.930000,46.900002,46.919998,45.129456,700
2016-07-15,46.860001,46.860001,46.860001,46.860001,45.071747,300
2016-07-18,47.099998,47.119999,47.099998,47.119999,45.321819,400
2016-07-19,46.889999,46.959999,46.869999,46.889999,45.100594,3900
2016-07-20,47.070000,47.119999,47.060001,47.119999,45.321819,500
2016-07-21,47.099998,47.169998,47.049999,47.049999,45.254494,300
2016-07-22,47.049999,47.080002,47.049999,47.080002,45.283344,800
2016-07-25,46.880001,46.880001,46.880001,46.880001,45.090977,500
2016-07-26,46.759998,47.110001,46.759998,47.070000,45.273735,2600
2016-07-27,47.040001,47.189999,47.040001,47.189999,45.389149,1100
2016-07-28,46.820000,47.220001,46.820000,47.209999,45.408390,4900
2016-07-29,47.209999,47.209999,47.209999,47.209999,45.408390,0
2016-08-01,46.830002,46.830002,46.700001,46.740002,44.956322,1200
2016-08-02,46.840000,46.840000,46.349998,46.439999,44.667774,1600
2016-08-03,46.849998,47.040001,46.849998,47.040001,45.244877,700
2016-08-04,46.779999,46.779999,46.709999,46.709999,44.927475,700
2016-08-05,47.500000,47.779999,47.500000,47.779999,45.956635,2400
2016-08-08,48.070000,48.070000,47.939999,47.939999,46.110531,500
2016-08-09,47.939999,47.939999,47.939999,47.939999,46.110531,0
2016-08-10,47.919998,47.919998,47.610001,47.610001,45.793125,700
2016-08-11,47.810001,47.830002,47.810001,47.830002,46.004730,400
2016-08-12,47.520000,47.540001,47.500000,47.500000,45.687317,800
2016-08-15,47.939999,47.939999,47.939999,47.939999,46.110531,1000
2016-08-16,47.840000,47.970001,47.840000,47.919998,46.091290,1100
2016-08-17,47.919998,48.000000,47.919998,48.000000,46.168240,400
2016-08-18,48.000000,48.000000,48.000000,48.000000,46.168240,0
2016-08-19,47.650002,48.049999,47.650002,48.040001,46.206718,1700
2016-08-22,47.849998,47.959999,47.849998,47.959999,46.129761,1000
2016-08-23,48.349998,48.349998,48.320000,48.320000,46.476032,300
2016-08-24,48.320000,48.320000,48.320000,48.320000,46.476032,0
2016-08-25,48.130001,48.160000,48.130001,48.160000,46.322132,700
2016-08-26,48.560001,48.560001,48.189999,48.369999,46.524113,1100
2016-08-29,48.320000,48.939999,48.320000,48.799999,46.937714,800
2016-08-30,49.000000,49.169998,48.980000,49.169998,47.293591,1000
2016-08-31,49.310001,49.349998,49.009998,49.009998,47.139702,1800
2016-09-01,49.000000,49.049999,48.869999,48.869999,47.005043,700
2016-09-02,49.220001,49.360001,49.220001,49.360001,47.476349,1000
2016-09-06,49.209999,49.209999,48.880001,49.040001,47.168549,3900
2016-09-07,49.009998,49.090000,49.009998,49.090000,47.216648,400
2016-09-08,49.169998,49.310001,49.139999,49.310001,47.428246,600
2016-09-09,49.040001,49.040001,48.720001,48.720001,46.860767,1200
2016-09-12,48.720001,49.009998,48.720001,49.009998,47.139702,800
2016-09-13,47.980000,48.220001,47.980000,48.220001,46.379841,1900
2016-09-14,48.160000,48.160000,48.160000,48.160000,46.322132,200
2016-09-15,48.040001,48.299999,48.040001,48.290001,46.447170,800
2016-09-16,48.290001,48.290001,48.290001,48.290001,46.447170,0
2016-09-19,48.380001,48.439999,48.380001,48.439999,46.591450,1100
2016-09-20,48.439999,48.439999,48.439999,48.439999,46.591450,0
2016-09-21,48.240002,48.529999,48.240002,48.520000,46.668396,1500
2016-09-22,48.590000,48.610001,48.560001,48.610001,46.754963,2300
2016-09-23,48.560001,48.560001,48.389999,48.389999,46.543358,1700
2016-09-26,47.820000,48.040001,47.619999,47.619999,45.802742,5400
2016-09-27,47.700001,48.040001,47.700001,48.040001,46.206718,1300
2016-09-28,48.040001,48.040001,48.040001,48.040001,46.206718,0
2016-09-29,48.419998,48.439999,48.419998,48.439999,46.591450,1600
2016-09-30,48.180000,48.279999,48.180000,48.279999,46.437550,1200
2016-10-03,48.130001,48.130001,47.939999,48.049999,46.216335,1300
2016-10-04,48.160000,48.160000,48.119999,48.130001,46.488720,2400
2016-10-05,48.000000,48.619999,48.000000,48.619999,46.962009,500
2016-10-06,48.799999,48.799999,48.750000,48.750000,47.087578,400
2016-10-07,48.750000,48.750000,48.750000,48.750000,47.087578,0
2016-10-10,48.750000,48.750000,48.750000,48.750000,47.087578,0
2016-10-11,48.750000,48.750000,48.750000,48.750000,47.087578,0
