Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,54.930000,55.150002,54.900002,54.900002,52.904903,2100
2016-01-04,54.410000,54.459999,52.790001,53.259998,51.324497,16300
2016-01-05,54.490002,54.490002,53.439999,53.680000,51.729240,4100
2016-01-06,53.279999,53.730000,53.279999,53.540001,51.594326,1500
2016-01-07,53.259998,53.349998,52.700001,52.700001,50.784855,3900
2016-01-08,53.270000,53.270000,52.259998,52.610001,50.698128,6700
2016-01-11,52.799999,53.470001,52.570000,53.320000,51.382320,164600
2016-01-12,53.619999,53.889999,53.230000,53.880001,51.921974,112400
2016-01-13,55.119999,55.119999,52.439999,52.450001,50.543941,28900
2016-01-14,52.250000,53.490002,52.250000,53.049999,51.122131,116600
2016-01-15,52.189999,52.500000,51.230000,52.160000,50.264481,32200
2016-01-19,52.240002,54.009998,51.410000,51.889999,50.004292,32700
2016-01-20,51.099998,53.270000,50.230000,52.169998,50.274113,35400
2016-01-21,52.560001,52.560001,51.610001,51.919998,50.033203,5500
2016-01-22,53.529999,53.540001,52.470001,52.680000,50.765583,9900
2016-01-25,52.130001,52.189999,51.869999,51.869999,49.985020,1400
2016-01-26,52.619999,53.189999,52.540001,52.799999,50.881218,7800
2016-01-27,52.910000,53.669998,52.330002,52.459999,50.553577,3300
2016-01-28,52.830002,52.830002,51.669998,51.669998,49.792286,18700
2016-01-29,52.570000,53.480000,52.560001,53.430000,51.488327,6700
2016-02-01,52.889999,53.599998,52.889999,53.430000,51.488327,14200
2016-02-02,52.869999,52.869999,52.160000,52.160000,50.264481,6100
2016-02-03,52.560001,52.560001,51.880001,52.500000,50.592125,6500
2016-02-04,52.750000,52.750000,51.849998,51.849998,49.965744,3700
2016-02-05,51.990002,52.049999,51.590000,51.660000,49.782650,3500
2016-02-08,51.279999,51.549999,50.900002,51.549999,49.676651,5600
2016-02-09,51.480000,51.869999,51.240002,51.709999,49.830837,30900
2016-02-10,52.509998,52.509998,51.509998,51.509998,49.638096,56500
2016-02-11,51.130001,51.259998,50.250000,51.119999,49.262268,18400
2016-02-12,51.410000,51.849998,51.200001,51.849998,49.965744,10700
2016-02-16,51.980000,52.730000,51.980000,52.689999,50.775215,31300
2016-02-17,53.250000,53.369999,53.080002,53.220001,51.285961,18400
2016-02-18,53.349998,53.349998,53.020000,53.220001,51.285961,7700
2016-02-19,53.349998,53.720001,53.349998,53.720001,51.767784,1900
2016-02-22,53.630001,53.779999,53.349998,53.459999,51.517239,17000
2016-02-23,53.639999,54.040001,53.610001,54.040001,52.076157,1300
2016-02-24,53.740002,54.720001,53.740002,54.669998,52.683262,25600
2016-02-25,54.849998,55.549999,54.849998,55.369999,53.357819,4100
2016-02-26,55.369999,55.369999,54.830002,54.830002,52.837452,800
2016-02-29,55.880001,55.880001,55.200001,55.529999,53.512009,11300
2016-03-01,55.799999,55.799999,54.959999,55.259998,53.251820,4500
2016-03-02,55.830002,56.830002,55.830002,56.779999,54.716583,5600
2016-03-03,56.990002,57.139999,56.630001,57.099998,55.024952,5600
2016-03-04,57.000000,57.290001,56.630001,56.730000,54.668404,13900
2016-03-07,56.959999,57.369999,56.959999,57.369999,55.285141,1300
2016-03-08,57.450001,57.720001,57.139999,57.230000,55.150230,50700
2016-03-09,57.580002,57.950001,57.570000,57.950001,55.844070,2200
2016-03-10,57.599998,57.599998,56.990002,57.250000,55.169502,8200
2016-03-11,57.700001,57.959999,57.610001,57.950001,55.844070,10900
2016-03-14,57.970001,58.049999,56.919998,56.919998,54.851494,170300
2016-03-15,57.180000,57.180000,56.090000,56.240002,54.196213,72600
2016-03-16,56.020000,57.279999,56.020000,57.270000,55.188774,36000
2016-03-17,57.360001,58.090000,57.360001,58.090000,55.978981,1600
2016-03-18,58.490002,58.590000,58.490002,58.540001,56.457333,2600
2016-03-21,58.380001,58.509998,58.270000,58.380001,56.303024,10000
2016-03-22,57.709999,57.750000,57.480000,57.540001,55.492908,3900
2016-03-23,57.500000,57.500000,57.130001,57.340000,55.300018,2600
2016-03-24,56.750000,57.299999,56.750000,57.299999,55.261444,36600
2016-03-28,57.799999,58.189999,57.799999,58.139999,56.071560,4000
2016-03-29,58.680000,59.310001,58.680000,59.310001,57.199936,7300
2016-03-30,59.590000,59.590000,59.090000,59.139999,57.035976,2300
2016-03-31,59.279999,59.720001,59.270000,59.720001,57.595356,11000
2016-04-01,59.310001,59.880001,59.299999,59.880001,57.749664,1100
2016-04-04,60.169998,60.169998,59.540001,59.669998,57.547131,1800
2016-04-05,59.590000,59.590000,58.770000,58.770000,56.679150,3500
2016-04-06,58.689999,58.959999,58.580002,58.959999,56.862385,4500
2016-04-07,58.529999,58.529999,58.090000,58.130001,56.061916,5400
2016-04-08,58.380001,59.080002,57.830002,58.119999,56.052273,3100
2016-04-11,58.380001,58.520000,57.950001,57.950001,55.888325,9400
2016-04-12,57.990002,58.570000,57.990002,58.570000,56.486263,2300
2016-04-13,58.389999,58.720001,58.389999,58.689999,56.601986,3500
2016-04-14,58.330002,58.330002,57.950001,58.000000,55.936543,2700
2016-04-15,58.130001,58.529999,58.130001,58.509998,56.428394,5300
2016-04-18,58.250000,58.860001,58.250000,58.779999,56.688793,2000
2016-04-19,58.939999,59.230000,58.740002,58.740002,56.650215,33000
2016-04-20,58.970001,59.139999,58.959999,58.959999,56.862385,6200
2016-04-21,58.110001,58.110001,57.669998,57.669998,55.618282,1800
2016-04-22,57.549999,58.340000,57.490002,58.310001,56.235512,10000
2016-04-25,58.509998,58.630001,58.450001,58.630001,56.544128,4000
2016-04-26,58.630001,59.220001,58.630001,59.220001,57.113144,17300
2016-04-27,59.459999,59.570000,59.070000,59.250000,57.142071,2500
2016-04-28,59.270000,60.060001,59.270000,59.750000,57.624290,1700
2016-04-29,59.990002,61.650002,59.990002,61.509998,59.321667,6500
2016-05-02,61.790001,62.279999,61.650002,62.259998,60.044979,15000
2016-05-03,62.040001,62.040001,61.459999,61.610001,59.418106,4400
2016-05-04,61.509998,61.869999,61.439999,61.830002,59.630291,2900
2016-05-05,61.910000,62.040001,61.680000,61.680000,59.485622,7400
2016-05-06,61.580002,62.160000,61.580002,61.910000,59.707439,3500
2016-05-09,62.700001,62.910000,62.360001,62.369999,60.151073,13100
2016-05-10,62.619999,62.680000,62.290001,62.680000,60.450043,5200
2016-05-11,62.389999,62.540001,62.130001,62.169998,59.958187,4900
2016-05-12,62.520000,62.520000,62.160000,62.430000,60.208939,1500
2016-05-13,62.259998,62.290001,61.610001,61.680000,59.485622,6500
2016-05-16,61.779999,62.500000,61.779999,62.250000,60.035343,97300
2016-05-17,62.360001,62.389999,60.060001,60.209999,58.067917,19900
2016-05-18,60.520000,61.599998,60.520000,61.099998,58.926258,2300
2016-05-19,61.060001,61.290001,60.930000,61.279999,59.099854,5000
2016-05-20,61.540001,61.740002,61.340000,61.580002,59.389183,8400
2016-05-23,61.799999,61.990002,61.759998,61.970001,59.765305,125700
2016-05-24,62.549999,63.020000,62.380001,62.740002,60.507904,121000
2016-05-25,63.189999,63.189999,62.689999,62.709999,60.478973,49900
2016-05-26,62.959999,63.220001,62.630001,62.910000,60.671856,6400
2016-05-27,63.020000,63.139999,62.419998,62.480000,60.257160,6100
2016-05-31,62.779999,63.080002,62.209999,62.580002,60.353607,31500
2016-06-01,62.770000,63.570000,62.310001,63.209999,60.961189,258000
2016-06-02,63.400002,63.400002,63.020000,63.220001,60.970833,14000
2016-06-03,63.230000,63.279999,62.919998,63.009998,60.768299,12900
2016-06-06,63.209999,63.630001,63.040001,63.470001,61.211937,9800
2016-06-07,63.810001,63.810001,63.279999,63.419998,61.163715,82300
2016-06-08,63.889999,63.889999,63.110001,63.619999,61.356602,14000
2016-06-09,64.190002,64.190002,63.250000,63.900002,61.626640,5800
2016-06-10,63.750000,63.750000,63.139999,63.279999,61.028698,6400
2016-06-13,64.070000,64.070000,62.189999,62.290001,60.073921,10200
2016-06-14,61.939999,62.560001,60.520000,62.529999,60.305374,10900
2016-06-15,62.689999,62.799999,62.540001,62.700001,60.469334,3500
2016-06-16,62.860001,63.480000,62.860001,63.480000,61.221584,18200
2016-06-17,63.500000,63.500000,62.910000,63.110001,60.988689,5900
2016-06-20,64.830002,64.830002,63.470001,63.470001,61.336586,7000
2016-06-21,64.300003,64.300003,63.259998,63.590000,61.452549,5900
2016-06-22,64.209999,64.209999,63.419998,63.480000,61.346249,5600
2016-06-23,64.650002,64.650002,63.669998,64.139999,61.984062,13200
2016-06-24,62.529999,63.720001,62.029999,63.099998,60.979019,20700
2016-06-27,62.630001,63.119999,62.250000,62.470001,60.370201,4500
2016-06-28,63.740002,64.660004,62.520000,62.599998,60.495823,16700
2016-06-29,63.000000,64.050003,63.000000,63.799999,61.655491,10700
2016-06-30,64.889999,65.470001,64.320000,65.470001,63.269363,8000
2016-07-01,66.309998,66.309998,65.129997,65.620003,63.414318,9600
2016-07-05,65.040001,65.519997,64.959999,65.110001,62.921459,11400
2016-07-06,64.830002,65.900002,64.830002,65.769997,63.559265,39100
2016-07-07,68.389999,68.389999,65.470001,65.750000,63.539951,8300
2016-07-08,66.300003,66.680000,65.730003,66.680000,64.438675,39400
2016-07-11,67.500000,67.500000,66.650002,66.970001,64.718941,20200
2016-07-12,67.959999,67.959999,66.690002,67.260002,64.999191,15200
2016-07-13,67.300003,67.300003,66.669998,67.150002,64.892883,14900
2016-07-14,67.230003,67.389999,66.809998,66.849998,64.602974,5100
2016-07-15,66.709999,66.989998,66.709999,66.790001,64.544983,23200
2016-07-18,67.129997,67.370003,66.930000,66.959999,64.709267,8700
2016-07-19,67.000000,67.010002,66.709999,66.900002,64.651291,17100
2016-07-20,66.730003,67.250000,66.730003,66.849998,64.602974,6800
2016-07-21,66.910004,66.930000,66.239998,66.730003,64.487007,6700
2016-07-22,66.750000,67.110001,66.620003,66.809998,64.564316,7600
2016-07-25,66.809998,67.000000,66.489998,66.709999,64.467674,12300
2016-07-26,67.279999,67.910004,67.040001,67.250000,64.989525,5200
2016-07-27,67.389999,67.419998,66.529999,66.529999,64.293732,12500
2016-07-28,66.360001,66.750000,66.339996,66.709999,64.467674,10600
2016-07-29,66.980003,68.610001,66.980003,68.419998,66.120201,14700
2016-08-01,69.150002,69.150002,67.879997,68.220001,65.926926,124500
2016-08-02,68.099998,68.099998,67.320000,67.320000,65.057175,126700
2016-08-03,67.620003,68.000000,67.099998,67.330002,65.066833,11900
2016-08-04,67.580002,67.989998,66.940002,67.989998,65.704643,7800
2016-08-05,68.930000,68.930000,68.089996,68.089996,65.801285,104300
2016-08-08,69.110001,69.110001,68.010002,68.089996,65.801285,114700
2016-08-09,67.550003,68.059998,67.419998,67.750000,65.472717,52700
2016-08-10,67.989998,68.050003,67.180000,67.400002,65.134491,15400
2016-08-11,67.769997,68.199997,66.970001,67.089996,64.834900,20100
2016-08-12,67.379997,67.800003,67.010002,67.379997,65.115158,48500
2016-08-15,67.650002,67.650002,66.930000,67.080002,64.825249,25800
2016-08-16,67.449997,69.110001,66.129997,66.129997,63.907177,56700
2016-08-17,66.389999,69.099998,65.730003,66.160004,63.936161,55000
2016-08-18,66.279999,66.910004,66.279999,66.830002,64.583649,16300
2016-08-19,66.599998,66.889999,66.370003,66.889999,64.641617,15700
2016-08-22,66.529999,67.309998,66.500000,67.059998,64.805893,24500
2016-08-23,67.309998,67.489998,67.160004,67.339996,65.076508,9000
2016-08-24,67.080002,67.150002,66.790001,66.910004,64.660965,9000
2016-08-25,67.379997,67.440002,67.000000,67.220001,64.960533,8200
2016-08-26,67.470001,67.800003,66.760002,66.919998,64.670616,20800
2016-08-29,66.919998,67.510002,66.919998,67.320000,65.057175,24600
2016-08-30,67.169998,67.220001,66.910004,67.169998,64.912209,24000
2016-08-31,67.379997,67.699997,66.519997,67.000000,64.747932,7200
2016-09-01,66.620003,66.849998,66.370003,66.709999,64.467674,11700
2016-09-02,67.400002,67.589996,67.370003,67.589996,65.318085,5800
2016-09-06,68.080002,68.510002,66.970001,67.199997,64.941208,24100
2016-09-07,66.980003,67.790001,66.980003,67.790001,65.511368,6000
