Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,20.010000,20.360001,20.010000,20.280001,15.363866,45200
2016-01-04,19.930000,20.299999,19.889999,20.240000,15.333562,17900
2016-01-05,20.139999,20.629999,20.139999,20.430000,15.477502,35900
2016-01-06,20.340000,20.510000,19.969999,20.480000,15.515382,29900
2016-01-07,20.120001,20.309999,19.969999,19.969999,15.129012,29300
2016-01-08,20.250000,20.299999,19.750000,19.750000,14.962343,11100
2016-01-11,19.480000,19.520000,18.870001,18.920000,14.672766,8200
2016-01-12,18.990000,19.100000,18.580000,18.770000,14.556439,72900
2016-01-13,18.950001,19.040001,18.100000,18.299999,14.191944,63800
2016-01-14,18.240000,18.330000,17.879999,18.219999,14.129904,13600
2016-01-15,17.610001,17.930000,17.549999,17.930000,13.905004,19700
2016-01-19,18.090000,18.120001,17.760000,17.780001,13.788679,23000
2016-01-20,17.320000,17.610001,16.750000,17.459999,13.540512,23200
2016-01-21,17.110001,18.000000,17.110001,17.790001,13.796434,101200
2016-01-22,18.110001,19.500000,18.000000,18.299999,14.191944,35200
2016-01-25,18.260000,18.260000,17.990000,17.990000,13.951536,19700
2016-01-26,18.059999,18.330000,18.030001,18.320000,14.207456,55800
2016-01-27,18.370001,18.480000,18.110001,18.170000,14.091129,23900
2016-01-28,18.410000,18.590000,18.190001,18.330000,14.215211,77800
2016-01-29,18.350000,18.610001,18.350000,18.469999,14.323783,25700
2016-02-01,18.480000,18.600000,18.250000,18.549999,14.385823,36900
2016-02-02,18.459999,18.459999,18.209999,18.209999,14.122150,4200
2016-02-03,18.200001,18.400000,17.950001,18.400000,14.269498,42700
2016-02-04,18.430000,18.450001,18.350000,18.350000,14.230723,16700
2016-02-05,18.379999,18.459999,18.230000,18.350000,14.230723,19300
2016-02-08,17.950001,17.980000,17.670000,17.740000,13.757656,53900
2016-02-09,17.510000,17.680000,17.350000,17.370001,13.470716,31600
2016-02-10,17.670000,17.670000,17.389999,17.430000,13.517246,4300
2016-02-11,17.150000,17.260000,16.840000,17.260000,13.385409,18200
2016-02-12,17.280001,17.370001,17.280001,17.309999,13.424184,20200
2016-02-16,17.559999,17.709999,17.500000,17.690001,13.718883,92600
2016-02-17,17.650000,18.920000,17.280001,17.290001,13.408676,42800
2016-02-18,18.120001,18.180000,17.500000,18.090000,14.029089,63700
2016-02-19,17.780001,18.010000,17.700001,17.900000,13.881740,47800
2016-02-22,17.910000,18.260000,17.790001,17.910000,13.889496,56300
2016-02-23,18.030001,18.049999,17.860001,17.980000,13.943781,13000
2016-02-24,17.700001,18.129999,17.620001,17.990000,13.951536,30200
2016-02-25,18.049999,18.309999,18.020000,18.309999,14.199702,9400
2016-02-26,18.280001,18.600000,18.250000,18.559999,14.393581,37600
2016-02-29,18.680000,18.920000,18.559999,18.900000,14.657257,33400
2016-03-01,18.870001,19.160000,18.870001,18.969999,14.711541,21700
2016-03-02,19.070000,19.309999,18.980000,19.160000,14.858888,22800
2016-03-03,19.320000,19.400000,19.200001,19.299999,14.967459,9500
2016-03-04,19.219999,19.709999,19.219999,19.400000,15.045013,8300
2016-03-07,19.459999,19.670000,19.450001,19.610001,15.207871,15200
2016-03-08,19.590000,19.590000,19.200001,19.320000,14.982975,19600
2016-03-09,19.549999,19.549999,19.320000,19.350000,15.006236,26300
2016-03-10,19.299999,19.500000,19.170000,19.290001,14.959707,50900
2016-03-11,19.350000,19.670000,19.350000,19.570000,15.176851,23300
2016-03-14,19.650000,19.730000,19.500000,19.719999,15.293180,5400
2016-03-15,19.530001,19.680000,19.510000,19.670000,15.254402,7100
2016-03-16,19.660000,19.809999,19.600000,19.809999,15.362977,5400
2016-03-17,19.850000,20.260000,19.790001,20.020000,15.525834,16400
2016-03-18,20.090000,20.139999,19.959999,20.049999,15.549100,4200
2016-03-21,20.129999,20.340000,20.129999,20.309999,15.750731,17700
2016-03-22,20.309999,20.350000,20.150000,20.290001,15.735224,7400
2016-03-23,20.139999,20.150000,19.950001,19.990000,15.502568,10100
2016-03-24,19.950001,20.230000,19.770000,20.120001,15.603390,6500
2016-03-28,20.250000,20.250000,20.020000,20.150000,15.626650,4300
2016-03-29,19.600000,20.330000,19.600000,20.330000,15.766244,8500
2016-03-30,20.350000,20.490000,20.219999,20.350000,15.781751,27700
2016-03-31,20.360001,20.469999,20.350000,20.400000,15.820528,11600
2016-04-01,20.250000,20.680000,20.200001,20.620001,15.991145,17100
2016-04-04,20.620001,20.620001,20.330000,20.330000,15.766244,14300
2016-04-05,20.360001,20.379999,20.309999,20.360001,15.789510,12600
2016-04-06,20.400000,20.530001,20.400000,20.410000,15.828286,8200
2016-04-07,20.440001,20.450001,20.280001,20.370001,15.797266,11700
2016-04-08,20.459999,20.459999,20.010000,20.020000,15.878720,25800
2016-04-11,20.129999,20.240000,20.010000,20.049999,15.902514,13800
2016-04-12,20.190001,20.320000,20.180000,20.309999,16.108730,9700
2016-04-13,20.370001,20.480000,20.270000,20.330000,16.124594,23600
2016-04-14,20.309999,20.350000,20.270000,20.270000,16.077007,10000
2016-04-15,20.360001,20.360001,20.170000,20.290001,16.092869,19500
2016-04-18,20.280001,20.389999,20.200001,20.320000,16.116663,14900
2016-04-19,20.350000,20.540001,20.290001,20.540001,16.291153,6500
2016-04-20,20.559999,20.559999,20.320000,20.450001,16.219772,20500
2016-04-21,20.340000,20.620001,20.340000,20.440001,16.211843,13600
2016-04-22,20.559999,20.650000,20.360001,20.650000,16.378399,13500
2016-04-25,20.670000,20.670000,20.370001,20.450001,16.219772,7300
2016-04-26,20.719999,20.719999,20.500000,20.530001,16.283222,73600
2016-04-27,20.370001,20.709999,20.370001,20.549999,16.299088,9800
2016-04-28,20.549999,20.549999,20.379999,20.430000,16.203909,23600
2016-04-29,20.400000,20.530001,20.270000,20.459999,16.227699,6100
2016-05-02,20.680000,20.680000,20.240000,20.299999,16.100800,16800
2016-05-03,20.200001,20.200001,20.000000,20.070000,15.918377,12200
2016-05-04,20.160000,20.200001,20.090000,20.200001,16.021486,31600
2016-05-05,20.400000,20.400000,19.990000,20.049999,15.902514,20100
2016-05-06,20.000000,20.070000,19.940001,20.040001,15.894585,6000
2016-05-09,19.900000,20.100000,19.809999,19.910000,15.791474,14500
2016-05-10,20.070000,20.230000,20.000000,20.170000,15.997688,17300
2016-05-11,20.150000,20.320000,20.020000,20.190001,16.013554,12300
2016-05-12,20.440001,20.440001,20.100000,20.260000,16.069073,3500
2016-05-13,20.280001,20.370001,20.160000,20.160000,15.989758,5200
2016-05-16,20.240000,20.340000,20.219999,20.219999,16.037346,18200
2016-05-17,20.059999,20.299999,20.010000,20.230000,16.045280,6500
2016-05-18,20.260000,20.299999,20.049999,20.080000,15.926309,25000
2016-05-19,20.309999,20.309999,19.500000,19.500000,15.466286,13100
2016-05-20,19.920000,20.030001,19.809999,19.870001,15.759749,9000
2016-05-23,20.000000,20.049999,19.870001,19.940001,15.815270,8800
2016-05-24,20.000000,20.059999,19.950001,20.059999,15.910442,6200
2016-05-25,20.200001,20.200001,20.090000,20.160000,15.989758,6300
2016-05-26,20.190001,20.200001,20.129999,20.129999,15.965967,6100
2016-05-27,20.190001,20.260000,20.170000,20.240000,16.053211,6800
2016-05-31,20.270000,20.350000,20.240000,20.280001,16.084936,9500
2016-06-01,20.260000,20.379999,20.260000,20.320000,16.116663,1400
2016-06-02,20.280001,20.400000,20.260000,20.320000,16.116663,10700
2016-06-03,20.340000,20.389999,20.340000,20.389999,16.172182,4500
2016-06-06,20.389999,20.490000,20.350000,20.450001,16.219772,20500
2016-06-07,20.490000,20.530001,20.420000,20.500000,16.259428,15000
2016-06-08,20.500000,20.500000,20.340000,20.450001,16.219772,11600
2016-06-09,20.330000,20.510000,20.330000,20.360001,16.148388,3400
2016-06-10,20.400000,20.440001,20.330000,20.440001,16.211843,4800
2016-06-13,20.510000,20.610001,20.299999,20.340000,16.132528,7900
2016-06-14,20.410000,20.410000,20.070000,20.200001,16.021486,10600
2016-06-15,20.230000,20.330000,20.230000,20.280001,16.084936,3600
2016-06-16,20.020000,20.299999,20.020000,20.280001,16.084936,5400
2016-06-17,20.270000,20.490000,20.270000,20.400000,16.180111,6900
2016-06-20,20.650000,20.650000,20.480000,20.500000,16.259428,7200
2016-06-21,20.610001,20.639999,20.459999,20.530001,16.283222,5600
2016-06-22,20.629999,20.650000,20.480000,20.570000,16.314947,3800
2016-06-23,20.590000,20.650000,20.549999,20.639999,16.370468,6200
2016-06-24,20.430000,20.709999,20.299999,20.500000,16.259428,17400
2016-06-27,20.170000,20.480000,19.959999,20.120001,15.958037,15200
2016-06-28,20.360001,20.500000,20.360001,20.490000,16.251495,6200
2016-06-29,20.730000,20.799999,20.670000,20.740000,16.449783,6800
2016-06-30,20.799999,20.889999,20.690001,20.860001,16.544960,7800
2016-07-01,20.780001,20.990000,20.780001,20.990000,16.648067,8600
2016-07-05,20.980000,20.980000,20.790001,20.930000,16.600483,8200
2016-07-06,20.920000,21.030001,20.840000,20.959999,16.624271,11300
2016-07-07,21.010000,21.049999,20.959999,20.969999,16.632204,4300
2016-07-08,21.049999,21.219999,21.049999,21.090000,16.727381,17500
2016-07-11,21.379999,22.000000,21.129999,21.190001,16.806698,13800
2016-07-12,20.709999,22.570000,20.709999,20.900000,16.938805,57300
2016-07-13,20.889999,21.459999,20.750000,20.920000,16.955011,20700
2016-07-14,20.930000,20.930000,20.750000,20.770000,16.833441,8200
2016-07-15,20.780001,20.959999,20.780001,20.940001,16.971220,8600
2016-07-18,20.969999,21.100000,20.950001,21.030001,17.044165,7000
2016-07-19,21.100000,21.180000,20.799999,21.160000,17.149525,16200
2016-07-20,21.379999,21.379999,21.049999,21.180000,17.165733,6600
2016-07-21,21.280001,21.280001,21.090000,21.160000,17.149525,2800
2016-07-22,21.299999,21.459999,21.020000,21.360001,17.311621,18900
2016-07-25,21.379999,21.469999,21.120001,21.440001,17.376453,28500
2016-07-26,21.440001,21.490000,21.299999,21.410000,17.352142,17000
2016-07-27,21.410000,21.540001,21.100000,21.379999,17.327829,9200
2016-07-28,21.330000,21.400000,21.330000,21.389999,17.335928,6100
2016-07-29,21.389999,21.440001,21.330000,21.440001,17.376453,6100
2016-08-01,21.420000,21.530001,21.340000,21.410000,17.352142,17500
2016-08-02,21.370001,21.420000,21.230000,21.299999,17.262989,9700
2016-08-03,21.360001,21.459999,21.330000,21.459999,17.392664,4500
2016-08-04,21.459999,21.760000,21.400000,21.520000,17.441296,57600
2016-08-05,21.590000,21.650000,21.430000,21.530001,17.449398,15600
2016-08-08,21.510000,21.719999,21.469999,21.590000,17.498024,19700
2016-08-09,21.559999,21.700001,21.480000,21.610001,17.514236,5300
2016-08-10,21.580000,21.660000,21.520000,21.570000,17.481817,22500
2016-08-11,21.670000,21.709999,21.570000,21.680000,17.570971,15100
2016-08-12,21.740000,21.740000,21.600000,21.639999,17.538549,15100
2016-08-15,21.780001,21.830000,21.700001,21.799999,17.668224,10000
2016-08-16,21.799999,21.920000,21.719999,21.780001,17.652020,24700
2016-08-17,21.830000,21.830000,21.680000,21.780001,17.652020,9700
2016-08-18,21.780001,21.950001,21.780001,21.930000,17.773586,8100
2016-08-19,22.020000,22.500000,21.760000,21.940001,17.781694,9500
2016-08-22,21.990000,22.129999,21.870001,21.980000,17.814110,13700
2016-08-23,21.940001,22.110001,21.940001,22.070000,17.887051,12000
2016-08-24,21.990000,22.110001,21.950001,22.000000,17.830318,22800
2016-08-25,22.059999,22.100000,21.950001,21.969999,17.806004,12500
2016-08-26,21.969999,22.139999,21.969999,22.100000,17.911369,7500
2016-08-29,22.170000,22.299999,22.100000,22.299999,18.073462,36500
2016-08-30,22.340000,22.520000,22.260000,22.430000,18.178820,16600
2016-08-31,22.540001,22.540001,22.230000,22.340000,18.105877,14100
2016-09-01,22.440001,22.440001,22.120001,22.260000,18.041040,32500
