Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,43.270000,43.820000,43.270000,43.599998,40.629234,900
2016-01-04,42.290001,42.470001,41.799999,42.470001,39.576237,4600
2016-01-05,42.599998,42.599998,42.049999,42.240002,39.361900,4500
2016-01-06,41.490002,41.570000,40.790001,41.040001,38.243671,1181500
2016-01-07,40.160000,40.299999,39.330002,39.439999,36.752686,7800
2016-01-08,39.730000,39.730000,38.599998,38.669998,36.035145,3200
2016-01-11,38.889999,38.889999,38.340000,38.599998,35.969929,3300
2016-01-12,38.689999,38.790001,38.180000,38.660000,36.025833,2600
2016-01-13,38.660000,38.750000,36.720001,36.950001,34.432350,141600
2016-01-14,37.090000,37.750000,36.869999,37.709999,35.140568,3300
2016-01-15,36.570000,36.660000,35.889999,36.540001,34.050285,10200
2016-01-19,37.110001,37.110001,36.270000,36.520000,34.031647,9900
2016-01-20,35.439999,36.369999,34.799999,36.040001,33.584347,14100
2016-01-21,36.080002,36.610001,35.660000,35.660000,33.230244,18600
2016-01-22,36.330002,36.970001,36.320000,36.820000,34.311207,25600
2016-01-25,36.619999,36.619999,35.689999,35.720001,33.286156,2900
2016-01-26,35.880001,36.439999,35.880001,36.439999,33.957100,8000
2016-01-27,36.330002,36.980000,35.799999,35.959999,33.509804,13100
2016-01-28,36.320000,36.320000,35.610001,35.810001,33.370029,36500
2016-01-29,35.860001,36.680000,35.860001,36.680000,34.180744,9000
2016-02-01,36.540001,36.630001,36.130001,36.490002,34.003685,6100
2016-02-02,35.900002,35.900002,34.680000,34.910000,32.531345,10000
2016-02-03,35.009998,35.049999,33.869999,34.849998,32.475437,42800
2016-02-04,34.900002,35.810001,34.900002,35.660000,33.230244,9400
2016-02-05,35.799999,35.900002,35.060001,35.060001,32.671124,2300
2016-02-08,34.490002,34.490002,33.480000,33.910000,31.599482,4900
2016-02-09,33.189999,33.849998,33.189999,33.790001,31.487658,52200
2016-02-10,34.080002,34.450001,34.009998,34.180000,31.851082,2800
2016-02-11,32.889999,33.220001,32.570000,33.000000,30.751490,27900
2016-02-12,33.490002,33.759998,33.070000,33.740002,31.441071,3600
2016-02-16,34.480000,34.939999,34.450001,34.860001,32.484756,16200
