Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,23.350000,23.440001,23.163334,23.166666,22.028849,293400
2016-01-04,22.840000,22.840000,22.556667,22.780001,21.661171,396300
2016-01-05,22.809999,22.910000,22.730000,22.879999,21.756262,485400
2016-01-06,22.629999,22.643333,22.403334,22.520000,21.413940,419400
2016-01-07,22.180000,22.316668,22.003334,22.010000,20.928991,452400
2016-01-08,22.170000,22.170000,21.763334,21.793333,20.722963,328800
2016-01-11,21.873333,21.950001,21.563334,21.756666,20.688101,455100
2016-01-12,21.920000,21.946667,21.563334,21.823334,20.751492,466800
2016-01-13,21.959999,22.033333,21.350000,21.423334,20.371140,1630500
2016-01-14,21.450001,21.790001,21.343334,21.633333,20.570822,671100
2016-01-15,21.250000,21.396667,21.090000,21.326666,20.279221,393000
2016-01-19,21.490000,21.516666,21.126667,21.226667,20.184130,438300
2016-01-20,20.936666,21.113333,20.533333,20.933332,19.905203,409500
2016-01-21,20.973333,21.180000,20.883333,20.953333,19.924221,153900
2016-01-22,21.206667,21.356667,21.173334,21.316668,20.269712,734400
2016-01-25,21.260000,21.276667,20.926666,20.940001,19.911547,534000
2016-01-26,21.026667,21.333334,21.026667,21.216667,20.174623,481200
2016-01-27,21.173334,21.433332,21.066668,21.163334,20.123905,178500
2016-01-28,21.320000,21.430000,21.163334,21.400000,20.348949,219000
2016-01-29,21.443333,21.873333,21.443333,21.873333,20.799034,269400
2016-02-01,21.770000,21.910000,21.623333,21.823334,20.751492,322500
2016-02-02,21.639999,21.696667,21.403334,21.443333,20.390154,513600
2016-02-03,21.510000,21.543333,21.103333,21.453333,20.399664,859800
2016-02-04,21.389999,21.553333,21.286667,21.456667,20.402834,548700
2016-02-05,21.356667,21.486666,21.250000,21.309999,20.263372,374100
2016-02-08,21.086666,21.160000,20.843334,21.103333,20.066851,227400
2016-02-09,20.879999,21.163334,20.879999,21.066668,20.031992,806100
2016-02-10,21.120001,21.333334,20.963333,20.963333,19.933731,532200
2016-02-11,20.586666,20.666666,20.446667,20.530001,19.521679,187200
2016-02-12,20.743334,21.123333,20.743334,21.083334,20.047834,725100
2016-02-16,21.299999,21.350000,21.129999,21.309999,20.263372,756600
2016-02-17,21.426666,21.643333,21.426666,21.593334,20.532789,272700
2016-02-18,21.606667,21.670000,21.533333,21.626667,20.564486,160200
2016-02-19,21.543333,21.653334,21.513334,21.639999,20.577162,307500
2016-02-22,21.786667,21.870001,21.750000,21.790001,20.719795,120900
2016-02-23,21.730000,21.730000,21.540001,21.549999,20.491583,147000
2016-02-24,21.370001,21.643333,21.280001,21.606667,20.545467,150000
2016-02-25,21.646667,21.860001,21.623333,21.856667,20.783186,97800
2016-02-26,21.946667,22.030001,21.866667,21.896667,20.821226,83400
2016-02-29,21.846666,21.896667,21.680000,21.686666,20.621538,113400
2016-03-01,21.813334,22.246666,21.813334,22.243334,21.150864,224100
2016-03-02,22.226667,22.360001,22.176666,22.360001,21.261799,183000
2016-03-03,22.376667,22.483334,22.313334,22.480000,21.375908,128400
2016-03-04,22.536667,22.576666,22.366667,22.520000,21.413940,151800
2016-03-07,22.430000,22.556667,22.410000,22.526667,21.420282,327900
2016-03-08,22.416666,22.416666,22.156666,22.263334,21.169882,169800
2016-03-09,22.383333,22.383333,22.233334,22.336666,21.239613,134700
2016-03-10,22.450001,22.526667,22.123333,22.343334,21.245956,171000
2016-03-11,22.526667,22.889999,22.526667,22.876667,21.753092,309300
2016-03-14,22.809999,22.846666,22.696667,22.776667,21.658003,182700
2016-03-15,22.666666,22.766666,22.590000,22.746666,21.629477,123900
2016-03-16,22.709999,22.920000,22.709999,22.853333,21.730902,133200
2016-03-17,22.873333,23.213333,22.813334,23.156666,22.019337,198600
2016-03-18,23.116667,23.230000,23.033333,23.160000,22.106833,490500
2016-03-21,23.123333,23.276667,23.116667,23.216667,22.160925,173100
2016-03-22,23.106667,23.280001,23.030001,23.143333,22.090923,116100
2016-03-23,23.133333,23.133333,22.963333,22.969999,21.925474,42000
2016-03-24,22.833334,22.833334,22.566668,22.709999,21.677296,113400
2016-03-28,22.820000,22.963333,22.770000,22.930000,21.887293,63300
2016-03-29,22.860001,23.026667,22.816668,23.026667,21.979563,150900
2016-03-30,23.193333,23.330000,23.129999,23.190001,22.135473,80700
2016-03-31,23.153334,23.213333,23.016666,23.080000,22.030474,100200
2016-04-01,22.980000,23.313334,22.906666,23.306667,22.246830,195900
2016-04-04,23.276667,23.283333,23.013334,23.030001,21.982752,110700
2016-04-05,22.873333,22.893333,22.706667,22.719999,21.686844,209100
