Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,24.639999,24.830000,24.600000,24.680000,23.341579,286900
2016-01-04,24.540001,24.600000,24.389999,24.600000,23.265915,48200
2016-01-05,24.520000,24.580000,24.469999,24.500000,23.171339,67000
2016-01-06,24.360001,24.430000,24.260000,24.299999,22.982182,56400
2016-01-07,24.080000,24.250000,24.030001,24.080000,22.774115,105700
2016-01-08,24.090000,24.090000,24.049999,24.059999,22.755198,61100
2016-01-11,24.080000,24.100000,24.059999,24.059999,22.755198,30300
2016-01-12,24.070000,24.090000,24.049999,24.070000,22.764660,24100
2016-01-13,24.090000,24.129999,23.719999,23.719999,22.433638,172800
2016-01-14,23.799999,24.090000,23.730000,24.080000,22.774115,136800
2016-01-15,23.740000,24.280001,23.740000,24.080000,22.774115,234100
2016-01-19,24.120001,24.160000,24.010000,24.059999,22.755198,117700
2016-01-20,23.820000,24.000000,23.700001,23.990000,22.688999,70400
2016-01-21,23.959999,24.100000,23.959999,23.990000,22.688999,12800
2016-01-22,24.010000,24.030001,23.820000,23.820000,22.528215,146800
2016-01-25,23.820000,23.889999,23.799999,23.830000,22.537672,25200
2016-01-26,23.870001,23.889999,23.790001,23.790001,22.499844,64500
2016-01-27,23.820000,23.870001,23.780001,23.860001,22.566048,17900
2016-01-28,23.840000,23.870001,23.730000,23.799999,22.509300,48900
2016-01-29,23.770000,23.950001,23.770000,23.950001,22.651169,376400
2016-02-01,23.790001,23.969999,23.790001,23.840000,22.547129,295100
2016-02-02,23.780001,23.820000,23.709999,23.740000,22.452553,30800
2016-02-03,23.700001,23.860001,23.650000,23.840000,22.547129,12400
2016-02-04,23.799999,23.920000,23.799999,23.870001,22.575502,20600
2016-02-05,23.809999,23.809999,23.620001,23.639999,22.357977,34100
2016-02-08,23.600000,23.600000,23.379999,23.530001,22.253944,80000
2016-02-09,23.600000,23.629999,23.530001,23.559999,22.282318,43100
2016-02-10,23.620001,23.750000,23.580000,23.580000,22.301229,348300
2016-02-11,23.500000,23.600000,23.480000,23.559999,22.282318,54900
2016-02-12,23.740000,23.809999,23.650000,23.809999,22.518757,12700
2016-02-16,23.709999,23.980000,23.709999,23.980000,22.679537,39000
2016-02-17,23.959999,24.209999,23.959999,24.150000,22.840319,26400
2016-02-18,24.160000,24.160000,24.040001,24.049999,22.745741,35500
2016-02-19,24.049999,24.200001,23.959999,23.980000,22.679537,40800
2016-02-22,24.059999,24.129999,24.020000,24.040001,22.736284,202900
2016-02-23,24.129999,24.129999,23.950001,23.969999,22.670084,13100
2016-02-24,23.959999,24.059999,23.870001,24.040001,22.736284,142300
2016-02-25,23.920000,24.160000,23.920000,24.160000,22.849777,141700
2016-02-26,24.230000,24.230000,24.180000,24.180000,22.868690,204200
2016-02-29,24.209999,24.209999,24.049999,24.049999,22.745741,48300
2016-03-01,24.170000,24.340000,23.490000,23.490000,22.216110,68300
2016-03-02,24.299999,24.400000,24.290001,24.400000,23.076761,118700
2016-03-03,24.379999,24.379999,24.250000,24.360001,23.038929,12600
2016-03-04,24.360001,24.480000,24.290001,24.430000,23.105135,26500
2016-03-07,24.370001,24.510000,24.330000,24.440001,23.114597,35700
2016-03-08,24.309999,24.389999,24.219999,24.240000,22.925436,145100
2016-03-09,24.340000,24.379999,24.270000,24.360001,23.038929,61900
2016-03-10,24.400000,24.500000,24.139999,24.320000,23.001099,93800
2016-03-11,24.480000,24.700001,24.480000,24.700001,23.360495,157500
2016-03-14,24.620001,24.730000,24.620001,24.709999,23.369951,12100
2016-03-15,24.570000,24.639999,24.520000,24.639999,23.303745,25400
2016-03-16,24.559999,24.799999,24.559999,24.750000,23.407780,15500
2016-03-17,24.730000,24.940001,24.709999,24.910000,23.559107,32000
2016-03-18,24.920000,24.950001,24.879999,24.920000,23.629253,8100
2016-03-21,24.740000,24.980000,24.540001,24.980000,23.686144,62800
2016-03-22,24.860001,24.990000,24.830000,24.920000,23.629253,94400
2016-03-23,24.870001,24.920000,24.780001,24.799999,23.515465,11100
2016-03-24,24.690001,24.770000,24.660000,24.770000,23.487020,25300
2016-03-28,24.830000,24.860001,24.760000,24.820000,23.534433,50800
2016-03-29,24.740000,24.969999,24.700001,24.969999,23.676661,34100
