Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,45.599998,45.919998,44.980000,45.860001,45.749222,19300
2016-01-04,47.689999,48.610001,47.619999,47.639999,47.524921,48900
2016-01-05,47.650002,47.939999,47.139999,47.299999,47.185741,22200
2016-01-06,48.599998,48.950001,48.130001,48.590000,48.472630,22400
2016-01-07,50.630001,51.430000,49.750000,51.220001,51.096275,90600
2016-01-08,50.180000,52.910000,50.150002,52.830002,52.702385,79300
2016-01-11,52.220001,53.439999,52.000000,52.480000,52.353230,124000
2016-01-12,51.450001,53.049999,51.330002,51.860001,51.734730,64900
2016-01-13,51.459999,54.939999,51.259998,54.570000,54.438183,69600
2016-01-14,54.230000,55.310001,52.810001,53.660000,53.530380,109100
2016-01-15,55.259998,57.200001,55.259998,55.880001,55.745018,100700
2016-01-19,54.759998,56.820000,54.450001,56.110001,55.974461,100800
2016-01-20,58.410000,60.549999,57.070000,58.230000,58.089340,149300
2016-01-21,58.119999,58.750000,56.549999,58.470001,58.328762,67100
2016-01-22,56.860001,57.049999,55.900002,56.189999,56.054268,42100
2016-01-25,56.639999,58.630001,56.459999,58.590000,58.448471,46700
2016-01-26,58.070000,58.070000,56.189999,56.520000,56.383472,55900
2016-01-27,56.770000,57.619999,55.070000,57.090000,56.952095,103700
2016-01-28,56.169998,57.509998,55.970001,57.160000,57.021927,31300
2016-01-29,56.689999,56.689999,53.740002,53.860001,53.729897,100300
2016-02-01,54.380001,54.889999,53.599998,54.160000,54.029175,31700
2016-02-02,55.509998,57.049999,55.400002,56.759998,56.622890,75000
2016-02-03,56.189999,59.490002,56.000000,56.500000,56.363522,165200
2016-02-04,57.000000,57.000000,55.180000,55.759998,55.625305,42800
2016-02-05,55.660000,57.700001,55.439999,57.450001,57.311222,182600
2016-02-08,59.619999,61.869999,58.779999,60.419998,60.274048,265200
2016-02-09,62.540001,62.779999,59.770000,60.720001,60.573326,199600
2016-02-10,59.919998,60.950001,58.299999,60.950001,60.802769,86800
2016-02-11,63.889999,65.089996,63.200001,64.230003,64.074844,237400
2016-02-12,62.240002,62.770000,59.549999,59.590000,59.446056,290000
2016-02-16,57.720001,58.700001,57.070000,57.480000,57.341148,96100
2016-02-17,56.910000,56.910000,55.520000,56.029999,55.894653,98700
